Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:53:56.040297,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,843097875,2663106751
2024-11-04 19:53:56.041303,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,4071,2663110280,843097875
2024-11-04 19:53:56.041832,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,4071,1,843097877,2663110280
2024-11-04 19:53:56.042808,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,8141,2663110282,843097877
2024-11-04 19:53:56.043383,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,8141,1,843097878,2663110282
2024-11-04 19:53:56.044380,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,12211,2663110283,843097878
2024-11-04 19:53:56.044761,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,12211,1,843097879,2663110283
2024-11-04 19:53:56.045695,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,16281,2663110284,843097879
2024-11-04 19:53:56.046058,344,10.5.1.2,38996,10.5.1.20,9001,TCP,16281,1,843097881,2663110284
2024-11-04 19:53:56.046490,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,16559,2663110285,843097881
2024-11-04 19:53:56.046906,3880,10.5.1.2,38996,10.5.1.20,9001,TCP,16559,1,843097882,2663110285
2024-11-04 19:53:56.047676,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,20373,2663110286,843097882
2024-11-04 19:53:56.048044,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,20373,1,843097883,2663110286
2024-11-04 19:53:56.048933,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,24443,2663110288,843097883
2024-11-04 19:53:56.049342,3042,10.5.1.2,38996,10.5.1.20,9001,TCP,24443,1,843097884,2663110288
2024-11-04 19:53:56.050189,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,27419,2663110289,843097884
2024-11-04 19:53:56.050807,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,27419,1,843097886,2663110289
2024-11-04 19:53:56.051617,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,31489,2663110290,843097886
2024-11-04 19:53:56.052011,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,31489,1,843097887,2663110290
2024-11-04 19:53:56.052899,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,35559,2663110292,843097887
2024-11-04 19:53:56.053273,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,35559,1,843097888,2663110292
2024-11-04 19:53:56.054140,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,39629,2663110293,843097888
2024-11-04 19:53:56.054497,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,39629,1,843097889,2663110293
2024-11-04 19:53:56.055355,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,43699,2663110294,843097889
2024-11-04 19:53:56.055695,344,10.5.1.2,38996,10.5.1.20,9001,TCP,43699,1,843097890,2663110294
2024-11-04 19:53:56.056129,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,43977,2663110295,843097890
2024-11-04 19:53:56.056461,3880,10.5.1.2,38996,10.5.1.20,9001,TCP,43977,1,843097891,2663110295
2024-11-04 19:53:56.057219,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,47791,2663110296,843097891
2024-11-04 19:53:56.057508,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,47791,1,843097892,2663110296
2024-11-04 19:53:56.058256,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,51861,2663110297,843097892
2024-11-04 19:53:56.058543,3042,10.5.1.2,38996,10.5.1.20,9001,TCP,51861,1,843097893,2663110297
2024-11-04 19:53:56.059273,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,54837,2663110298,843097893
2024-11-04 19:53:56.059714,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,54837,1,843097894,2663110298
2024-11-04 19:53:56.060531,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,58907,1,843097895,2663110298
2024-11-04 19:53:56.060534,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,58907,2663110299,843097894
2024-11-04 19:53:56.061200,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,61803,2663110300,843097895
2024-11-04 19:53:56.061489,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,61803,1,843097896,2663110299
2024-11-04 19:53:56.061933,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,62977,2663110301,843097896
2024-11-04 19:53:56.061936,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,62977,1,843097897,2663110300
2024-11-04 19:53:56.062518,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,65873,1,843097897,2663110301
2024-11-04 19:53:56.062531,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,65873,2663110301,843097897
2024-11-04 19:53:56.063091,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,67047,2663110302,843097897
2024-11-04 19:53:56.063095,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,67047,1,843097898,2663110301
2024-11-04 19:53:56.063820,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,69943,1,843097899,2663110302
2024-11-04 19:53:56.063834,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,69943,2663110303,843097898
2024-11-04 19:53:56.064281,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,71117,2663110303,843097899
2024-11-04 19:53:56.064292,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,71117,1,843097899,2663110303
2024-11-04 19:53:56.064969,1262,10.5.1.2,38996,10.5.1.20,9001,TCP,74013,1,843097900,2663110303
2024-11-04 19:53:56.064983,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,74013,2663110304,843097899
2024-11-04 19:53:56.065478,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,75209,1,843097900,2663110304
2024-11-04 19:53:56.065485,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,75209,2663110304,843097900
2024-11-04 19:53:56.066282,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,78105,1,843097901,2663110304
2024-11-04 19:53:56.066296,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,78105,2663110305,843097900
2024-11-04 19:53:56.066860,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,79279,2663110306,843097901
2024-11-04 19:53:56.066862,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,79279,1,843097902,2663110305
2024-11-04 19:53:56.067469,146,10.5.1.2,38996,10.5.1.20,9001,TCP,82175,1,843097902,2663110306
2024-11-04 19:53:56.067481,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,82175,2663110306,843097902
2024-11-04 19:53:56.067784,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,82255,2663110306,843097902
2024-11-04 19:53:56.067903,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,82255,1,843097903,2663110306
2024-11-04 19:53:56.068576,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,85151,1,843097903,2663110306
2024-11-04 19:53:56.068587,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,85151,2663110307,843097903
2024-11-04 19:53:56.068995,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,85151,2663110308,843097903
2024-11-04 19:53:56.069101,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,86325,1,843097904,2663110307
2024-11-04 19:53:56.069934,4410,10.5.1.2,38996,10.5.1.20,9001,TCP,89221,537,843097905,2663110308
2024-11-04 19:53:56.069938,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,89221,2663110309,843097903
2024-11-04 19:53:56.070734,966,10.5.1.2,38996,10.5.1.20,9001,TCP,93565,537,843097905,2663110309
2024-11-04 19:53:56.070743,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,93565,2663110309,843097905
2024-11-04 19:53:56.071124,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,94465,537,843097906,2663110309
2024-11-04 19:53:56.071792,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,97361,2663110311,843097905
2024-11-04 19:53:56.072052,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,97361,537,843097907,2663110311
2024-11-04 19:53:56.072519,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,98535,537,843097907,2663110311
2024-11-04 19:53:56.073093,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,101431,2663110312,843097907
2024-11-04 19:53:56.073373,1262,10.5.1.2,38996,10.5.1.20,9001,TCP,101431,537,843097908,2663110312
2024-11-04 19:53:56.073825,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,102627,537,843097909,2663110312
2024-11-04 19:53:56.074520,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,105523,2663110313,843097908
2024-11-04 19:53:56.074786,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,105523,537,843097910,2663110313
2024-11-04 19:53:56.075380,4410,10.5.1.2,38996,10.5.1.20,9001,TCP,106697,537,843097910,2663110313
2024-11-04 19:53:56.076112,4410,10.5.1.2,38996,10.5.1.20,9001,TCP,111041,537,843097911,2663110313
2024-11-04 19:53:56.076117,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,111041,2663110315,843097910
2024-11-04 19:53:56.076872,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,115385,2663110316,843097911
2024-11-04 19:53:56.077162,952,10.5.1.2,38996,10.5.1.20,9001,TCP,115385,537,843097912,2663110315
2024-11-04 19:53:56.077619,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,116271,537,843097912,2663110316
2024-11-04 19:53:56.078324,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,119167,2663110317,843097912
2024-11-04 19:53:56.078604,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,119167,537,843097913,2663110317
2024-11-04 19:53:56.079084,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,120341,537,843097914,2663110317
2024-11-04 19:53:56.079784,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,123237,2663110318,843097913
2024-11-04 19:53:56.080094,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,123237,537,843097915,2663110318
2024-11-04 19:53:56.080500,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,124411,537,843097915,2663110318
2024-11-04 19:53:56.081204,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,127307,2663110320,843097915
2024-11-04 19:53:56.081498,1262,10.5.1.2,38996,10.5.1.20,9001,TCP,127307,537,843097916,2663110320
2024-11-04 19:53:56.081947,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,128503,537,843097917,2663110320
2024-11-04 19:53:56.082621,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,131399,2663110321,843097916
2024-11-04 19:53:56.082899,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,131399,537,843097918,2663110321
2024-11-04 19:53:56.083331,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,132573,537,843097918,2663110321
2024-11-04 19:53:56.084145,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,135469,2663110323,843097918
2024-11-04 19:53:56.084452,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,135469,537,843097919,2663110323
2024-11-04 19:53:56.084935,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,136643,537,843097920,2663110323
2024-11-04 19:53:56.085619,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,139539,2663110324,843097919
2024-11-04 19:53:56.085874,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,139539,537,843097921,2663110324
2024-11-04 19:53:56.086539,4410,10.5.1.2,38996,10.5.1.20,9001,TCP,140713,537,843097921,2663110324
2024-11-04 19:53:56.087505,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,145057,537,843097922,2663110324
2024-11-04 19:53:56.087513,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,145057,2663110326,843097921
2024-11-04 19:53:56.088074,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,147953,2663110327,843097922
2024-11-04 19:53:56.088376,1500,10.5.1.2,38996,10.5.1.20,9001,TCP,147953,537,843097923,2663110326
2024-11-04 19:53:56.089023,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,149387,537,843097924,2663110327
2024-11-04 19:53:56.089651,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,152283,2663110328,843097923
2024-11-04 19:53:56.089931,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,152283,537,843097925,2663110328
2024-11-04 19:53:56.090387,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,153457,537,843097925,2663110328
2024-11-04 19:53:56.091101,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,156353,2663110330,843097925
2024-11-04 19:53:56.091375,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,156353,537,843097926,2663110330
2024-11-04 19:53:56.091857,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,157527,537,843097927,2663110330
2024-11-04 19:53:56.092532,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,160423,2663110331,843097926
2024-11-04 19:53:56.092837,1262,10.5.1.2,38996,10.5.1.20,9001,TCP,160423,537,843097928,2663110331
2024-11-04 19:53:56.093334,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,161619,537,843097928,2663110331
2024-11-04 19:53:56.093979,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,164515,2663110333,843097928
2024-11-04 19:53:56.094258,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,164515,537,843097929,2663110333
2024-11-04 19:53:56.094720,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,165689,537,843097929,2663110333
2024-11-04 19:53:56.095387,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,168585,2663110334,843097929
2024-11-04 19:53:56.095681,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,168585,537,843097930,2663110334
2024-11-04 19:53:56.096127,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,169759,537,843097931,2663110334
2024-11-04 19:53:56.096824,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,172655,2663110336,843097930
2024-11-04 19:53:56.097092,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,172655,537,843097932,2663110336
2024-11-04 19:53:56.097683,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,173829,537,843097932,2663110336
2024-11-04 19:53:56.098374,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,176725,2663110337,843097932
2024-11-04 19:53:56.098702,1262,10.5.1.2,38996,10.5.1.20,9001,TCP,176725,537,843097933,2663110337
2024-11-04 19:53:56.099233,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,177921,537,843097934,2663110337
2024-11-04 19:53:56.099890,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,180817,2663110339,843097933
2024-11-04 19:53:56.100188,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,180817,537,843097935,2663110339
2024-11-04 19:53:56.100667,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,181991,537,843097935,2663110339
2024-11-04 19:53:56.101498,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,184887,2663110340,843097935
2024-11-04 19:53:56.101760,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,184887,537,843097936,2663110340
2024-11-04 19:53:56.102227,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,186061,537,843097937,2663110340
2024-11-04 19:53:56.102960,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,188957,2663110342,843097936
2024-11-04 19:53:56.103229,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,188957,537,843097938,2663110342
2024-11-04 19:53:56.103694,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,190131,537,843097938,2663110342
2024-11-04 19:53:56.104529,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,193027,2663110343,843097938
2024-11-04 19:53:56.104838,1262,10.5.1.2,38996,10.5.1.20,9001,TCP,193027,537,843097940,2663110343
2024-11-04 19:53:56.105471,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,194223,537,843097940,2663110343
2024-11-04 19:53:56.106365,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,197119,2663110345,843097940
2024-11-04 19:53:56.106687,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,197119,537,843097941,2663110345
2024-11-04 19:53:56.107240,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,198293,537,843097942,2663110345
2024-11-04 19:53:56.107919,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,201189,2663110347,843097941
2024-11-04 19:53:56.108209,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,201189,537,843097943,2663110347
2024-11-04 19:53:56.108730,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,202363,537,843097943,2663110347
