Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:06:22.593104,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,843844428,2663853690
2024-11-04 20:06:22.593613,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2663856832,843844428
2024-11-04 20:06:22.875771,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2663857114,843844428
2024-11-04 20:06:22.877459,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,843844712,2663857114
2024-11-04 20:06:22.878290,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2663857117,843844712
2024-11-04 20:06:23.166822,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2663857406,843844712
2024-11-04 20:06:23.168269,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,2101,843845003,2663857406
2024-11-04 20:06:23.173823,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,1073,2663857413,843845003
2024-11-04 20:06:23.175181,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,5721,843845010,2663857413
2024-11-04 20:06:23.179183,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,5721,1073,2663857418,843845010
2024-11-04 20:06:23.180552,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,9791,843845015,2663857418
2024-11-04 20:06:23.180556,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,9791,1073,2663857419,843845010
2024-11-04 20:06:23.181720,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,12687,843845016,2663857419
2024-11-04 20:06:23.181722,1240,10.5.1.20,9001,10.5.1.2,38996,TCP,12687,1073,2663857420,843845015
