Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:14:01.169064,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,840703004,2660711716
2024-11-04 19:14:01.169665,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2660715408,840703004
2024-11-04 19:14:01.372268,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2660715611,840703004
2024-11-04 19:14:01.372802,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,840703208,2660715611
2024-11-04 19:14:01.373318,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,840703208,2660715611
2024-11-04 19:14:01.373807,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2660715613,840703208
2024-11-04 19:14:01.580741,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2660715819,840703208
2024-11-04 19:14:01.585199,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,1073,2660715824,840703208
2024-11-04 19:14:01.586078,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,3969,840703421,2660715819
2024-11-04 19:14:01.586520,790,10.5.1.20,9001,10.5.1.2,38996,TCP,3969,1073,2660715825,840703421
2024-11-04 19:14:01.589149,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,4693,1073,2660715828,840703421
2024-11-04 19:14:01.589815,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,7589,840703425,2660715825
2024-11-04 19:14:01.590066,790,10.5.1.20,9001,10.5.1.2,38996,TCP,7589,1073,2660715829,840703425
2024-11-04 19:14:01.590452,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,8313,840703425,2660715829
2024-11-04 19:14:01.590772,66,10.5.1.20,9001,10.5.1.2,38996,TCP,8313,1609,2660715829,840703425
2024-11-04 19:14:01.591025,602,10.5.1.20,9001,10.5.1.2,38996,TCP,8313,1609,2660715830,840703425
2024-11-04 19:14:01.592443,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,8849,1609,2660715831,840703425
2024-11-04 19:14:01.592963,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,11745,840703428,2660715830
2024-11-04 19:14:01.593213,790,10.5.1.20,9001,10.5.1.2,38996,TCP,11745,1609,2660715832,840703428
2024-11-04 19:14:01.596282,1514,10.5.1.20,9001,10.5.1.2,38996,TCP,12469,1609,2660715835,840703428
2024-11-04 19:14:01.596973,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,13917,840703432,2660715832
2024-11-04 19:14:01.597180,1210,10.5.1.20,9001,10.5.1.2,38996,TCP,13917,1609,2660715836,840703432
2024-11-04 19:14:01.639068,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,15061,840703474,2660715836
2024-11-04 19:14:01.790582,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,15061,1609,2660716029,840703474
2024-11-04 19:14:01.791735,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,18681,840703626,2660716029
2024-11-04 19:14:01.796252,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,18681,1609,2660716035,840703626
2024-11-04 19:14:01.796794,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,22751,840703632,2660716035
2024-11-04 19:14:01.797026,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,22751,1609,2660716036,840703632
2024-11-04 19:14:01.797576,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,26821,840703632,2660716036
2024-11-04 19:14:01.797777,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,26821,1609,2660716036,840703632
2024-11-04 19:14:01.797812,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,26821,840703633,2660716036
2024-11-04 19:14:01.798465,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,30891,840703633,2660716036
2024-11-04 19:14:01.798706,794,10.5.1.20,9001,10.5.1.2,38996,TCP,30891,2145,2660716037,840703633
2024-11-04 19:14:01.799597,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,31619,2145,2660716038,840703633
2024-11-04 19:14:01.800089,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,34515,840703635,2660716037
2024-11-04 19:14:01.800275,1240,10.5.1.20,9001,10.5.1.2,38996,TCP,34515,2145,2660716039,840703635
2024-11-04 19:14:01.800618,1514,10.5.1.20,9001,10.5.1.2,38996,TCP,35689,2145,2660716039,840703635
2024-11-04 19:14:01.800983,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,37137,840703636,2660716039
2024-11-04 19:14:01.801162,1274,10.5.1.20,9001,10.5.1.2,38996,TCP,37137,2145,2660716040,840703636
2024-11-04 19:14:01.842416,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,38345,840703677,2660716040
2024-11-04 19:14:01.991180,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,38345,2145,2660716230,840703677
2024-11-04 19:14:01.991794,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,39909,840703826,2660716230
2024-11-04 19:14:01.993812,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,39909,2145,2660716233,840703826
2024-11-04 19:14:01.994256,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,43529,840703829,2660716233
2024-11-04 19:14:01.994491,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,43529,840703829,2660716233
2024-11-04 19:14:01.999253,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,43529,2681,2660716238,840703829
2024-11-04 19:14:01.999808,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,47149,840703835,2660716238
2024-11-04 19:14:02.002886,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,47149,2681,2660716242,840703835
2024-11-04 19:14:02.003880,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,51219,840703839,2660716242
2024-11-04 19:14:02.003907,1514,10.5.1.20,9001,10.5.1.2,38996,TCP,51219,2681,2660716243,840703835
2024-11-04 19:14:02.004668,760,10.5.1.20,9001,10.5.1.2,38996,TCP,52667,2681,2660716243,840703839
2024-11-04 19:14:02.005232,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,53361,840703840,2660716243
2024-11-04 19:14:02.006978,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,53361,2681,2660716246,840703840
2024-11-04 19:14:02.007838,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,56981,840703843,2660716246
2024-11-04 19:14:02.008159,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,56981,840703843,2660716246
2024-11-04 19:14:02.009647,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,56981,3217,2660716248,840703843
2024-11-04 19:14:02.010812,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,61051,840703846,2660716248
2024-11-04 19:14:02.011046,152,10.5.1.20,9001,10.5.1.2,38996,TCP,61051,3217,2660716250,840703846
2024-11-04 19:14:02.012654,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,61137,3217,2660716251,840703846
2024-11-04 19:14:02.013175,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,64033,840703848,2660716250
2024-11-04 19:14:02.013419,1240,10.5.1.20,9001,10.5.1.2,38996,TCP,64033,3217,2660716252,840703848
2024-11-04 19:14:02.013799,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,65207,3217,2660716253,840703848
2024-11-04 19:14:02.014348,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,68103,840703849,2660716252
2024-11-04 19:14:02.014773,854,10.5.1.20,9001,10.5.1.2,38996,TCP,68103,3217,2660716253,840703849
2024-11-04 19:14:02.055746,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,68891,840703890,2660716253
2024-11-04 19:14:02.200749,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,68891,3217,2660716439,840703890
2024-11-04 19:14:02.201575,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,70455,840704036,2660716439
