Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:37:33.400640,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,478803807,3556488707
2024-11-04 12:37:33.401003,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3556492346,478803807
2024-11-04 12:37:33.974514,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,1,478804380,3556492346
2024-11-04 12:37:33.974883,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,1073,3556492920,478804380
2024-11-04 12:37:34.006316,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,1073,3556492951,478804380
2024-11-04 12:37:34.006760,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,537,478804413,3556492951
2024-11-04 12:37:34.047239,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1609,3556492992,478804413
2024-11-04 12:37:34.988163,3172,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1609,3556493933,478804413
2024-11-04 12:37:34.988710,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,3643,478805395,3556493933
2024-11-04 12:37:34.992528,3686,10.5.1.20,9001,10.5.1.2,43314,TCP,3643,1609,3556493937,478805395
2024-11-04 12:37:34.993276,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,7263,478805399,3556493937
2024-11-04 12:37:34.994760,4136,10.5.1.20,9001,10.5.1.2,43314,TCP,7263,1609,3556493940,478805399
2024-11-04 12:37:34.995428,2962,10.5.1.20,9001,10.5.1.2,43314,TCP,11333,1609,3556493940,478805399
2024-11-04 12:37:34.995451,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,11333,478805401,3556493940
2024-11-04 12:37:34.995905,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,14229,478805402,3556493940
2024-11-04 12:37:34.996173,1240,10.5.1.20,9001,10.5.1.2,43314,TCP,14229,1609,3556493941,478805401
2024-11-04 12:37:34.996599,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,15403,478805403,3556493941
2024-11-04 12:37:34.996943,216,10.5.1.20,9001,10.5.1.2,43314,TCP,15403,2145,3556493942,478805403
2024-11-04 12:37:35.018419,1514,10.5.1.20,9001,10.5.1.2,43314,TCP,15553,2145,3556493963,478805403
2024-11-04 12:37:35.018929,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,17001,478805425,3556493942
2024-11-04 12:37:35.019328,718,10.5.1.20,9001,10.5.1.2,43314,TCP,17001,2145,3556493964,478805425
2024-11-04 12:37:35.020933,1514,10.5.1.20,9001,10.5.1.2,43314,TCP,17653,2145,3556493966,478805425
2024-11-04 12:37:35.021508,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,19101,478805427,3556493964
2024-11-04 12:37:35.021885,182,10.5.1.20,9001,10.5.1.2,43314,TCP,19101,2145,3556493967,478805427
2024-11-04 12:37:35.022698,2962,10.5.1.20,9001,10.5.1.2,43314,TCP,19217,2145,3556493968,478805427
2024-11-04 12:37:35.023231,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,22113,478805429,3556493967
2024-11-04 12:37:35.023521,276,10.5.1.20,9001,10.5.1.2,43314,TCP,22113,2145,3556493968,478805429
2024-11-04 12:37:35.024823,2962,10.5.1.20,9001,10.5.1.2,43314,TCP,22323,2145,3556493970,478805429
2024-11-04 12:37:35.025231,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,25219,478805431,3556493968
2024-11-04 12:37:35.025420,276,10.5.1.20,9001,10.5.1.2,43314,TCP,25219,2145,3556493970,478805431
2024-11-04 12:37:35.029996,2962,10.5.1.20,9001,10.5.1.2,43314,TCP,25429,2145,3556493975,478805431
2024-11-04 12:37:35.030372,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,28325,478805436,3556493970
2024-11-04 12:37:35.030550,790,10.5.1.20,9001,10.5.1.2,43314,TCP,28325,2145,3556493976,478805436
2024-11-04 12:37:35.030951,602,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,29049,478805437,3556493976
2024-11-04 12:37:35.034883,3686,10.5.1.20,9001,10.5.1.2,43314,TCP,29049,2681,3556493980,478805437
2024-11-04 12:37:35.035488,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2681,32669,478805441,3556493980
2024-11-04 12:37:35.037546,602,10.5.1.20,9001,10.5.1.2,43314,TCP,32669,2681,3556493983,478805441
2024-11-04 12:37:35.041184,2962,10.5.1.20,9001,10.5.1.2,43314,TCP,33205,2681,3556493986,478805441
2024-11-04 12:37:35.041735,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2681,36101,478805448,3556493983
2024-11-04 12:37:35.042041,276,10.5.1.20,9001,10.5.1.2,43314,TCP,36101,2681,3556493987,478805448
2024-11-04 12:37:35.083925,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2681,36311,478805490,3556493987
2024-11-04 12:37:35.217907,3172,10.5.1.20,9001,10.5.1.2,43314,TCP,36311,2681,3556494163,478805490
2024-11-04 12:37:35.218558,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2681,39417,478805625,3556494163
2024-11-04 12:37:35.221957,3686,10.5.1.20,9001,10.5.1.2,43314,TCP,39417,2681,3556494167,478805625
2024-11-04 12:37:35.222585,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2681,43037,478805629,3556494167
