Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:46:45.726412,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,479356132,3557042033
2024-11-04 12:46:45.767228,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3557044712,479356132
2024-11-04 12:46:45.849193,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3557044794,479356132
2024-11-04 12:46:45.849636,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,479356256,3557044794
2024-11-04 12:46:45.850115,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,479356256,3557044794
2024-11-04 12:46:45.850657,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3557044796,479356256
2024-11-04 12:46:45.979393,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3557044924,479356256
2024-11-04 12:46:46.020543,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1073,479356426,3557044924
2024-11-04 12:46:46.022209,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,1073,3557044967,479356426
2024-11-04 12:46:46.022775,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1609,479356429,3557044967
