Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:07:47.931690,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,477018338,3554705961
2024-11-04 12:07:47.931837,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554706877,477018338
2024-11-04 12:07:48.207640,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554707153,477018338
2024-11-04 12:07:48.207837,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,477018614,3554707153
2024-11-04 12:07:48.208052,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,477018614,3554707153
2024-11-04 12:07:48.208153,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554707153,477018614
2024-11-04 12:07:48.490500,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554707435,477018614
2024-11-04 12:07:48.530752,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1073,477018937,3554707435
2024-11-04 12:07:48.534767,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,1073,3554707480,477018937
2024-11-04 12:07:48.534966,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1609,477018941,3554707480
