Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:46:03.273946,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,475713680,3553400059
2024-11-04 11:46:03.274005,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3553402219,475713680
2024-11-04 11:46:03.399214,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3553402344,475713680
2024-11-04 11:46:03.399250,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,475713805,3553402344
2024-11-04 11:46:03.399450,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,475713805,3553402344
2024-11-04 11:46:03.399478,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3553402344,475713805
2024-11-04 11:46:03.523839,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3553402469,475713805
2024-11-04 11:46:03.564233,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1073,475713970,3553402469
2024-11-04 11:46:03.564711,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,1073,3553402510,475713970
2024-11-04 11:46:03.564735,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1609,475713971,3553402510
2024-11-04 11:46:03.565253,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1609,475713971,3553402510
2024-11-04 11:46:03.565300,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1609,1609,3553402510,475713971
2024-11-04 11:46:09.187861,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1609,1609,3553408133,475713971
2024-11-04 11:46:09.230897,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,2145,475719637,3553408133
2024-11-04 11:46:12.998657,2144,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,2145,475723405,3553408133
2024-11-04 11:46:12.998785,66,10.5.1.20,9001,10.5.1.2,43314,TCP,2145,3687,3553411944,475723405
2024-11-04 11:46:12.999274,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2145,3687,3553411944,475723405
