Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:09:01.503842,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,1,3554780449,477091850
2024-11-04 12:09:01.504054,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1,537,477091910,3554780449
2024-11-04 12:09:01.504378,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,537,477091910,3554780449
2024-11-04 12:09:01.504512,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,537,3554780449,477091910
2024-11-04 12:09:01.571268,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,537,3554780516,477091910
2024-11-04 12:09:01.614092,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,1073,477092020,3554780516
2024-11-04 12:09:01.618175,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,537,3554780563,477092020
2024-11-04 12:09:01.618406,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,1609,477092024,3554780563
2024-11-04 12:09:01.619079,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,1609,477092025,3554780563
2024-11-04 12:09:01.619324,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1609,1073,3554780564,477092025
