Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:45:14.516311,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,842576351,2662588675
2024-11-04 19:45:14.517098,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,4071,2662588756,842576351
2024-11-04 19:45:14.517364,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,4071,1,842576352,2662588756
2024-11-04 19:45:14.518084,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,8141,2662588757,842576352
2024-11-04 19:45:14.518393,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,8141,1,842576353,2662588757
2024-11-04 19:45:14.519288,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,12211,2662588758,842576353
2024-11-04 19:45:14.519750,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,12211,1,842576354,2662588758
2024-11-04 19:45:14.520520,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,16281,2662588759,842576354
2024-11-04 19:45:14.520828,344,10.5.1.2,38996,10.5.1.20,9001,TCP,16281,1,842576356,2662588759
2024-11-04 19:45:14.521236,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,16559,2662588760,842576356
2024-11-04 19:45:14.521559,3880,10.5.1.2,38996,10.5.1.20,9001,TCP,16559,1,842576356,2662588760
2024-11-04 19:45:14.522384,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,20373,2662588761,842576356
2024-11-04 19:45:14.522693,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,20373,1,842576357,2662588761
2024-11-04 19:45:14.523517,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,24443,2662588762,842576357
2024-11-04 19:45:14.523766,3042,10.5.1.2,38996,10.5.1.20,9001,TCP,24443,1,842576358,2662588762
2024-11-04 19:45:14.524430,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,27419,2662588763,842576358
2024-11-04 19:45:14.524803,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,27419,1,842576360,2662588763
2024-11-04 19:45:14.525697,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,31489,2662588764,842576360
2024-11-04 19:45:14.525944,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,31489,1,842576361,2662588764
2024-11-04 19:45:14.526786,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,35559,2662588765,842576361
2024-11-04 19:45:14.527119,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,35559,1,842576362,2662588765
2024-11-04 19:45:14.528011,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,39629,2662588767,842576362
2024-11-04 19:45:14.528338,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,39629,1,842576363,2662588767
2024-11-04 19:45:14.529266,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,43699,2662588768,842576363
2024-11-04 19:45:14.529677,344,10.5.1.2,38996,10.5.1.20,9001,TCP,43699,1,842576364,2662588768
2024-11-04 19:45:14.530216,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,43977,2662588769,842576364
2024-11-04 19:45:14.530612,3880,10.5.1.2,38996,10.5.1.20,9001,TCP,43977,1,842576365,2662588769
2024-11-04 19:45:14.531440,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,47791,2662588770,842576365
2024-11-04 19:45:14.531805,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,47791,1,842576367,2662588770
2024-11-04 19:45:14.532741,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,51861,2662588771,842576367
2024-11-04 19:45:14.533082,3042,10.5.1.2,38996,10.5.1.20,9001,TCP,51861,1,842576368,2662588771
2024-11-04 19:45:14.533886,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,54837,2662588773,842576368
2024-11-04 19:45:14.534282,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,54837,1,842576369,2662588773
2024-11-04 19:45:14.535046,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,58907,1,842576370,2662588773
2024-11-04 19:45:14.535078,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,58907,2662588774,842576369
2024-11-04 19:45:14.535763,4410,10.5.1.2,38996,10.5.1.20,9001,TCP,61803,1,842576370,2662588773
2024-11-04 19:45:14.535892,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,61803,2662588775,842576370
2024-11-04 19:45:14.536589,966,10.5.1.2,38996,10.5.1.20,9001,TCP,66147,1,842576371,2662588774
2024-11-04 19:45:14.536635,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,66147,2662588775,842576370
2024-11-04 19:45:14.537034,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,67047,1,842576372,2662588775
2024-11-04 19:45:14.537224,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,67047,2662588776,842576371
2024-11-04 19:45:14.537756,1514,10.5.1.2,38996,10.5.1.20,9001,TCP,69943,1,842576372,2662588775
2024-11-04 19:45:14.537808,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,69943,2662588777,842576372
2024-11-04 19:45:14.538299,70,10.5.1.2,38996,10.5.1.20,9001,TCP,71391,1,842576373,2662588776
2024-11-04 19:45:14.538605,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,71395,2662588777,842576372
2024-11-04 19:45:14.538950,3880,10.5.1.2,38996,10.5.1.20,9001,TCP,71395,1,842576374,2662588777
2024-11-04 19:45:14.540018,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,75209,1,842576375,2662588777
2024-11-04 19:45:14.540054,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,75209,2662588779,842576374
2024-11-04 19:45:14.540839,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,78105,2662588780,842576375
2024-11-04 19:45:14.541164,1240,10.5.1.2,38996,10.5.1.20,9001,TCP,78105,1,842576376,2662588779
2024-11-04 19:45:14.541663,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,79279,1,842576376,2662588780
2024-11-04 19:45:14.541691,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,79279,2662588780,842576376
2024-11-04 19:45:14.542445,146,10.5.1.2,38996,10.5.1.20,9001,TCP,82175,1,842576377,2662588780
2024-11-04 19:45:14.542520,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,82175,2662588781,842576376
2024-11-04 19:45:14.542821,2962,10.5.1.2,38996,10.5.1.20,9001,TCP,82255,1,842576378,2662588780
2024-11-04 19:45:14.543142,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,82255,2662588782,842576377
2024-11-04 19:45:14.543712,276,10.5.1.2,38996,10.5.1.20,9001,TCP,85151,1,842576378,2662588782
2024-11-04 19:45:14.544312,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,85361,2662588783,842576378
2024-11-04 19:45:14.562162,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,85361,2662588801,842576378
2024-11-04 19:45:14.563018,66,10.5.1.2,38996,10.5.1.20,9001,TCP,85361,537,842576398,2662588801
2024-11-04 19:45:14.563762,602,10.5.1.2,38996,10.5.1.20,9001,TCP,85361,537,842576398,2662588801
2024-11-04 19:45:14.605608,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,85897,2662588844,842576398
2024-11-04 19:45:14.687058,3172,10.5.1.20,9001,10.5.1.2,38996,TCP,537,85897,2662588926,842576398
2024-11-04 19:45:14.688282,66,10.5.1.2,38996,10.5.1.20,9001,TCP,85897,3643,842576523,2662588926
2024-11-04 19:45:14.697543,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,3643,85897,2662588936,842576523
2024-11-04 19:45:14.698970,66,10.5.1.2,38996,10.5.1.20,9001,TCP,85897,7263,842576534,2662588936
2024-11-04 19:45:14.702699,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,7263,85897,2662588941,842576534
2024-11-04 19:45:14.703758,66,10.5.1.2,38996,10.5.1.20,9001,TCP,85897,11333,842576538,2662588941
2024-11-04 19:45:14.704274,152,10.5.1.20,9001,10.5.1.2,38996,TCP,11333,85897,2662588943,842576538
2024-11-04 19:45:14.704902,602,10.5.1.2,38996,10.5.1.20,9001,TCP,85897,11419,842576540,2662588943
2024-11-04 19:45:14.735835,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,11419,86433,2662588975,842576540
2024-11-04 19:45:14.737493,66,10.5.1.2,38996,10.5.1.20,9001,TCP,86433,15039,842576572,2662588975
2024-11-04 19:45:14.739762,2658,10.5.1.20,9001,10.5.1.2,38996,TCP,15039,86433,2662588978,842576572
2024-11-04 19:45:14.740707,66,10.5.1.2,38996,10.5.1.20,9001,TCP,86433,17631,842576575,2662588978
