Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:38:49.094634,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,478879501,3556566649
2024-11-04 12:38:49.095194,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3556568040,478879501
2024-11-04 12:38:49.124413,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3556568069,478879501
2024-11-04 12:38:49.125082,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,478879531,3556568069
2024-11-04 12:38:49.154740,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3556568100,478879531
2024-11-04 12:38:49.155493,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1073,478879561,3556568100
2024-11-04 12:38:49.160972,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,1609,3556568106,478879561
2024-11-04 12:38:49.203908,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,1609,478879610,3556568106
2024-11-04 12:38:55.988461,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,1609,478886394,3556568106
2024-11-04 12:38:55.989223,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1609,2145,3556574934,478886394
2024-11-04 12:38:55.989698,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,2145,478886396,3556574934
2024-11-04 12:38:55.990116,1116,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,2145,478886396,3556574934
