Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:40:04.446963,602,10.5.1.2,37460,10.5.1.20,9001,TCP,1,1,1244401435,3767585693
2024-10-31 11:40:04.447096,66,10.5.1.20,9001,10.5.1.2,37460,TCP,1,537,3767588061,1244401435
2024-10-31 11:40:04.473973,602,10.5.1.20,9001,10.5.1.2,37460,TCP,1,537,3767588088,1244401435
2024-10-31 11:40:04.474111,66,10.5.1.2,37460,10.5.1.20,9001,TCP,537,537,1244401462,3767588088
2024-10-31 11:40:04.474356,602,10.5.1.2,37460,10.5.1.20,9001,TCP,537,537,1244401462,3767588088
2024-10-31 11:40:04.515211,66,10.5.1.20,9001,10.5.1.2,37460,TCP,537,1073,3767588129,1244401462
2024-10-31 11:40:04.606744,602,10.5.1.20,9001,10.5.1.2,37460,TCP,537,1073,3767588221,1244401462
2024-10-31 11:40:04.609334,2962,10.5.1.20,9001,10.5.1.2,37460,TCP,1073,1073,3767588223,1244401462
2024-10-31 11:40:04.609501,66,10.5.1.2,37460,10.5.1.20,9001,TCP,1073,3969,1244401598,3767588221
2024-10-31 11:40:04.609625,790,10.5.1.20,9001,10.5.1.2,37460,TCP,3969,1073,3767588224,1244401598
2024-10-31 11:40:04.612271,2962,10.5.1.20,9001,10.5.1.2,37460,TCP,4693,1073,3767588226,1244401598
2024-10-31 11:40:04.612419,66,10.5.1.2,37460,10.5.1.20,9001,TCP,1073,7589,1244401600,3767588224
2024-10-31 11:40:04.612519,790,10.5.1.20,9001,10.5.1.2,37460,TCP,7589,1073,3767588227,1244401600
2024-10-31 11:40:04.615911,2962,10.5.1.20,9001,10.5.1.2,37460,TCP,8313,1073,3767588230,1244401600
2024-10-31 11:40:04.616048,66,10.5.1.2,37460,10.5.1.20,9001,TCP,1073,11209,1244401604,3767588227
2024-10-31 11:40:04.616172,1240,10.5.1.20,9001,10.5.1.2,37460,TCP,11209,1073,3767588230,1244401604
2024-10-31 11:40:04.616330,2962,10.5.1.20,9001,10.5.1.2,37460,TCP,12383,1073,3767588230,1244401604
2024-10-31 11:40:04.616450,66,10.5.1.2,37460,10.5.1.20,9001,TCP,1073,15279,1244401604,3767588230
2024-10-31 11:40:04.616564,1240,10.5.1.20,9001,10.5.1.2,37460,TCP,15279,1073,3767588231,1244401604
2024-10-31 11:40:04.616752,602,10.5.1.2,37460,10.5.1.20,9001,TCP,1073,16453,1244401605,3767588231
2024-10-31 11:40:04.616882,216,10.5.1.20,9001,10.5.1.2,37460,TCP,16453,1609,3767588231,1244401605
2024-10-31 11:40:04.619023,2962,10.5.1.20,9001,10.5.1.2,37460,TCP,16603,1609,3767588233,1244401605
2024-10-31 11:40:04.619154,66,10.5.1.2,37460,10.5.1.20,9001,TCP,1609,19499,1244401607,3767588231
2024-10-31 11:40:04.619250,1240,10.5.1.20,9001,10.5.1.2,37460,TCP,19499,1609,3767588233,1244401607
2024-10-31 11:40:04.619369,2962,10.5.1.20,9001,10.5.1.2,37460,TCP,20673,1609,3767588233,1244401607
