Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:18:21.208669,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,837363043,2657369758
2024-11-04 18:18:21.209011,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2657375448,837363043
2024-11-04 18:18:21.450360,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2657375689,837363043
2024-11-04 18:18:21.451128,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,837363286,2657375689
2024-11-04 18:18:21.451413,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2657375690,837363286
2024-11-04 18:18:21.666352,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2657375905,837363286
2024-11-04 18:18:21.666462,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,537,837363501,2657375690
2024-11-04 18:18:21.666773,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,1609,2657375905,837363501
2024-11-04 18:18:21.669957,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1073,837363505,2657375905
2024-11-04 18:18:21.670342,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2657375909,837363505
2024-11-04 18:18:21.673269,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,1609,837363508,2657375909
2024-11-04 18:18:21.676863,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,2681,2657375916,837363508
2024-11-04 18:18:21.677497,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2145,837363512,2657375916
2024-11-04 18:18:21.683159,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,3217,2657375922,837363512
2024-11-04 18:18:21.683484,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,2681,837363518,2657375922
