Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:18:58.975201,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,833800810,2653808028
2024-11-04 17:18:58.975263,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2653813214,833800810
2024-11-04 17:18:59.017246,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2653813256,833800810
2024-11-04 17:18:59.017261,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,833800852,2653813256
2024-11-04 17:18:59.017495,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,833800852,2653813256
2024-11-04 17:18:59.017548,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2653813256,833800852
2024-11-04 17:18:59.069708,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2653813308,833800852
2024-11-04 17:18:59.070531,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1073,833800905,2653813308
2024-11-04 17:18:59.070596,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,1609,2653813309,833800905
2024-11-04 17:19:00.512596,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1073,833802347,2653813309
2024-11-04 17:19:00.512702,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2653814751,833802347
2024-11-04 17:19:00.513209,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2653814752,833802347
2024-11-04 17:19:00.513870,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,1609,833802349,2653814752
2024-11-04 17:19:00.520487,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,2681,2653814759,833802349
2024-11-04 17:19:00.521308,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2145,833802356,2653814759
2024-11-04 17:19:00.527607,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,3217,2653814766,833802356
2024-11-04 17:19:00.569764,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,2681,833802404,2653814766
2024-11-04 17:19:07.939331,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,2681,833809774,2653814766
