Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:23:06.235451,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,837648070,2657657180
2024-11-04 18:23:06.235640,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2657660474,837648070
2024-11-04 18:23:06.379567,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2657660618,837648070
2024-11-04 18:23:06.379954,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,837648215,2657660618
2024-11-04 18:23:06.380366,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,837648215,2657660618
2024-11-04 18:23:06.380632,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2657660619,837648215
2024-11-04 18:23:06.528814,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2657660767,837648215
2024-11-04 18:23:06.529632,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1073,837648364,2657660767
2024-11-04 18:23:06.529963,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,1609,2657660769,837648364
2024-11-04 18:23:06.917539,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1073,837648752,2657660769
2024-11-04 18:23:06.917901,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2657661157,837648752
2024-11-04 18:23:06.918748,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2657661157,837648752
2024-11-04 18:23:06.919610,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,1609,837648754,2657661157
2024-11-04 18:23:06.927030,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,2681,2657661166,837648754
2024-11-04 18:23:06.927675,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2145,837648762,2657661166
2024-11-04 18:23:06.933498,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,3217,2657661172,837648762
2024-11-04 18:23:06.934110,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,2681,837648769,2657661172
