Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:00:31.072651,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,476581479,3554269252
2024-11-04 12:00:31.072853,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554270018,476581479
2024-11-04 12:00:31.096366,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554270041,476581479
2024-11-04 12:00:31.096496,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476581502,3554270041
2024-11-04 12:00:31.096685,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476581503,3554270041
2024-11-04 12:00:31.140831,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554270086,476581503
2024-11-04 12:00:31.141832,2144,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554270087,476581503
2024-11-04 12:00:31.142005,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,2615,476581548,3554270087
2024-11-04 12:00:31.143998,1630,10.5.1.20,9001,10.5.1.2,43314,TCP,2615,1073,3554270089,476581548
2024-11-04 12:00:31.144098,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,4179,476581550,3554270089
2024-11-04 12:00:31.148066,3686,10.5.1.20,9001,10.5.1.2,43314,TCP,4179,1073,3554270093,476581550
2024-11-04 12:00:31.148199,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,7799,476581554,3554270093
2024-11-04 12:00:31.148315,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,7799,476581554,3554270093
2024-11-04 12:00:31.148431,66,10.5.1.20,9001,10.5.1.2,43314,TCP,7799,1609,3554270093,476581554
