Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:01:23.701900,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,839945537,2659953423
2024-11-04 19:01:23.702341,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2659957941,839945537
2024-11-04 19:01:23.736138,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2659957975,839945537
2024-11-04 19:01:23.736668,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,839945571,2659957975
2024-11-04 19:01:23.737156,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,839945572,2659957975
2024-11-04 19:01:23.779203,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2659958018,839945572
2024-11-04 19:01:23.911355,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2659958150,839945572
2024-11-04 19:01:23.912003,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,2101,839945747,2659958150
2024-11-04 19:01:23.913994,3172,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,1073,2659958153,839945747
2024-11-04 19:01:23.914805,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,5207,839945750,2659958153
2024-11-04 19:01:23.917357,2658,10.5.1.20,9001,10.5.1.2,38996,TCP,5207,1073,2659958156,839945750
2024-11-04 19:01:23.918359,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,7799,839945753,2659958156
2024-11-04 19:01:23.920921,602,10.5.1.20,9001,10.5.1.2,38996,TCP,7799,1073,2659958160,839945753
2024-11-04 19:01:23.956386,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,8335,839945791,2659958160
2024-11-04 19:01:23.957227,66,10.5.1.20,9001,10.5.1.2,38996,TCP,8335,1609,2659958196,839945791
