Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:40:26.562944,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,835088398,2655097346
2024-11-04 17:40:26.563213,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2655100802,835088398
2024-11-04 17:40:26.643801,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,1,835088479,2655100802
2024-11-04 17:40:26.643971,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,1073,2655100883,835088479
2024-11-04 17:40:26.644609,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,1073,2655100883,835088479
2024-11-04 17:40:26.645071,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,537,835088480,2655100883
2024-11-04 17:40:26.650067,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1609,2655100889,835088480
2024-11-04 17:40:26.650590,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1073,835088485,2655100889
2024-11-04 17:40:26.657198,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2655100896,835088485
2024-11-04 17:40:26.657431,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,1609,835088492,2655100896
2024-11-04 17:40:26.663610,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,2681,2655100902,835088492
2024-11-04 17:40:26.663756,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2145,835088498,2655100902
2024-11-04 17:40:26.706350,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,3217,2655100945,835088498
2024-11-04 17:40:26.723051,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,3217,2655100962,835088498
2024-11-04 17:40:26.723555,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,2681,835088558,2655100962
2024-11-04 17:40:26.723644,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2681,3753,2655100962,835088558
2024-11-04 17:40:26.904947,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2681,3753,2655101144,835088558
2024-11-04 17:40:26.905691,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3753,3217,835088740,2655101144
2024-11-04 17:40:26.905802,66,10.5.1.20,9001,10.5.1.2,38996,TCP,3217,4289,2655101145,835088740
2024-11-04 17:40:31.853161,602,10.5.1.2,38996,10.5.1.20,9001,TCP,4289,3217,835093688,2655101145
2024-11-04 17:40:31.853393,66,10.5.1.20,9001,10.5.1.2,38996,TCP,3217,4825,2655106092,835093688
2024-11-04 17:40:33.652582,1630,10.5.1.2,38996,10.5.1.20,9001,TCP,4825,3217,835095487,2655106092
2024-11-04 17:40:33.652998,66,10.5.1.20,9001,10.5.1.2,38996,TCP,3217,6389,2655107892,835095487
2024-11-04 17:40:33.653823,602,10.5.1.20,9001,10.5.1.2,38996,TCP,3217,6389,2655107892,835095487
2024-11-04 17:40:33.654501,602,10.5.1.2,38996,10.5.1.20,9001,TCP,6389,3753,835095489,2655107892
2024-11-04 17:40:33.660023,602,10.5.1.20,9001,10.5.1.2,38996,TCP,3753,6925,2655107899,835095489
2024-11-04 17:40:33.660738,602,10.5.1.2,38996,10.5.1.20,9001,TCP,6925,4289,835095495,2655107899
2024-11-04 17:40:33.666886,602,10.5.1.20,9001,10.5.1.2,38996,TCP,4289,7461,2655107906,835095495
2024-11-04 17:40:33.667428,602,10.5.1.2,38996,10.5.1.20,9001,TCP,7461,4825,835095502,2655107906
2024-11-04 17:40:33.674121,602,10.5.1.20,9001,10.5.1.2,38996,TCP,4825,7997,2655107913,835095502
