Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:21:10.237098,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,841132072,2661144122
2024-11-04 19:21:10.237413,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2661144476,841132072
2024-11-04 19:21:10.280817,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2661144519,841132072
2024-11-04 19:21:10.281630,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,841132116,2661144519
2024-11-04 19:21:10.282400,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,841132117,2661144519
2024-11-04 19:21:10.283109,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2661144522,841132117
2024-11-04 19:21:17.287711,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2661151526,841132117
2024-11-04 19:21:17.329027,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1073,841139164,2661151526
2024-11-04 19:21:23.963495,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1073,841145798,2661151526
2024-11-04 19:21:23.964190,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,1609,2661158203,841145798
2024-11-04 19:21:26.437740,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1073,841148272,2661158203
2024-11-04 19:21:26.438511,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2661160677,841148272
2024-11-04 19:21:33.337233,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2661167576,841148272
2024-11-04 19:21:33.337851,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,1609,841155173,2661167576
2024-11-04 19:21:37.879604,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,1609,841159714,2661167576
2024-11-04 19:21:37.880473,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,2681,2661172119,841159714
2024-11-04 19:21:42.677714,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,1609,841164512,2661172119
2024-11-04 19:21:42.678499,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,3217,2661176917,841164512
2024-11-04 19:21:46.901072,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,1609,841168736,2661176917
2024-11-04 19:21:46.901875,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,3753,2661181141,841168736
2024-11-04 19:21:49.365284,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,3753,2661183604,841168736
2024-11-04 19:21:49.365859,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3753,2145,841171201,2661183604
