Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:56:58.398666,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,476368805,3554052984
2024-11-04 11:56:58.399060,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554057344,476368805
2024-11-04 11:56:58.598125,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554057543,476368805
2024-11-04 11:56:58.598429,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476369004,3554057543
2024-11-04 11:56:58.598551,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554057544,476369004
2024-11-04 11:56:58.792339,1116,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554057737,476369004
2024-11-04 11:56:58.834173,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1587,476369240,3554057737
2024-11-04 11:57:03.380156,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1587,476373786,3554057737
2024-11-04 11:57:03.380498,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1587,1609,3554062325,476373786
2024-11-04 11:57:03.558307,2144,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,1587,476373964,3554062325
2024-11-04 11:57:03.558571,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1587,3687,3554062504,476373964
2024-11-04 11:57:03.558990,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1587,3687,3554062504,476373964
2024-11-04 11:57:03.559058,66,10.5.1.2,43314,10.5.1.20,9001,TCP,3687,2123,476373965,3554062504
2024-11-04 11:57:03.561762,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3687,2123,476373968,3554062504
