Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:29:47.646810,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,841649482,2661655708
2024-11-04 19:29:47.689019,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2661661928,841649482
2024-11-04 19:29:47.689397,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,841649524,2661661928
2024-11-04 19:29:47.689737,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,841649524,2661661928
2024-11-04 19:29:47.732323,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2661661971,841649524
2024-11-04 19:29:47.791388,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2661662030,841649524
2024-11-04 19:29:47.792234,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,2101,841649627,2661662030
2024-11-04 19:29:47.794711,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,1073,2661662033,841649627
2024-11-04 19:29:47.796048,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,5721,841649631,2661662033
2024-11-04 19:29:47.796913,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,5721,841649632,2661662033
2024-11-04 19:29:47.797736,66,10.5.1.20,9001,10.5.1.2,38996,TCP,5721,1609,2661662036,841649632
2024-11-04 19:29:47.797984,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,5721,1609,2661662037,841649632
2024-11-04 19:29:47.799122,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,9791,841649634,2661662037
2024-11-04 19:29:47.799797,152,10.5.1.20,9001,10.5.1.2,38996,TCP,9791,1609,2661662038,841649634
2024-11-04 19:29:47.802472,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,9877,1609,2661662041,841649634
2024-11-04 19:29:47.803368,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,12773,841649638,2661662038
2024-11-04 19:29:47.803385,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,12773,1609,2661662042,841649634
2024-11-04 19:29:47.804426,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,15669,841649639,2661662042
2024-11-04 19:29:47.804439,486,10.5.1.20,9001,10.5.1.2,38996,TCP,15669,1609,2661662043,841649638
2024-11-04 19:29:47.806457,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,16089,1609,2661662045,841649639
2024-11-04 19:29:47.807471,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,18985,841649642,2661662043
2024-11-04 19:29:47.807488,4410,10.5.1.20,9001,10.5.1.2,38996,TCP,18985,1609,2661662046,841649639
2024-11-04 19:29:47.808530,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,23329,841649643,2661662046
2024-11-04 19:29:47.808540,966,10.5.1.20,9001,10.5.1.2,38996,TCP,23329,1609,2661662047,841649642
2024-11-04 19:29:47.809259,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,23329,841649644,2661662046
2024-11-04 19:29:47.809363,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,24229,1609,2661662048,841649643
2024-11-04 19:29:47.810648,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,27125,841649645,2661662047
2024-11-04 19:29:47.811374,1454,10.5.1.20,9001,10.5.1.2,38996,TCP,27125,2145,2661662050,841649644
2024-11-04 19:29:47.813582,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,28513,2145,2661662052,841649644
2024-11-04 19:29:47.814492,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,31409,841649649,2661662050
2024-11-04 19:29:47.814516,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,31409,2145,2661662053,841649644
2024-11-04 19:29:47.815669,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,34305,841649650,2661662053
2024-11-04 19:29:47.815683,1000,10.5.1.20,9001,10.5.1.2,38996,TCP,34305,2145,2661662054,841649649
2024-11-04 19:29:47.816685,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,35239,841649651,2661662054
2024-11-04 19:29:47.817844,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,35239,2681,2661662057,841649651
2024-11-04 19:29:47.819417,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,39309,841649654,2661662057
2024-11-04 19:29:47.819474,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,39309,2681,2661662058,841649651
2024-11-04 19:29:47.820788,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,42205,841649655,2661662058
2024-11-04 19:29:47.820794,1240,10.5.1.20,9001,10.5.1.2,38996,TCP,42205,2681,2661662059,841649654
2024-11-04 19:29:47.823138,4410,10.5.1.20,9001,10.5.1.2,38996,TCP,43379,2681,2661662062,841649655
2024-11-04 19:29:47.824267,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,47723,841649659,2661662059
2024-11-04 19:29:47.824888,1056,10.5.1.20,9001,10.5.1.2,38996,TCP,47723,2681,2661662064,841649659
2024-11-04 19:29:47.826680,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,48713,2681,2661662065,841649659
2024-11-04 19:29:47.827707,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,51609,841649662,2661662064
2024-11-04 19:29:47.827733,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,51609,2681,2661662066,841649659
2024-11-04 19:29:47.828807,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,54505,841649664,2661662066
2024-11-04 19:29:47.828815,486,10.5.1.20,9001,10.5.1.2,38996,TCP,54505,2681,2661662068,841649662
2024-11-04 19:29:47.829824,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,54925,841649665,2661662068
2024-11-04 19:29:47.830876,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,54925,3217,2661662070,841649665
2024-11-04 19:29:47.832078,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,58995,841649667,2661662070
2024-11-04 19:29:47.832093,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,58995,3217,2661662071,841649665
2024-11-04 19:29:47.833069,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,61891,841649668,2661662071
2024-11-04 19:29:47.833091,340,10.5.1.20,9001,10.5.1.2,38996,TCP,61891,3217,2661662072,841649667
2024-11-04 19:29:47.836145,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,62165,3217,2661662075,841649668
2024-11-04 19:29:47.837114,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,65061,841649672,2661662072
2024-11-04 19:29:47.837137,4410,10.5.1.20,9001,10.5.1.2,38996,TCP,65061,3217,2661662076,841649668
2024-11-04 19:29:47.838210,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,69405,841649673,2661662076
