Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:31:25.293947,602,10.5.1.2,37460,10.5.1.20,9001,TCP,1,1,1243882282,3767067693
2024-10-31 11:31:25.294016,66,10.5.1.20,9001,10.5.1.2,37460,TCP,1,537,3767068908,1243882282
2024-10-31 11:31:25.405058,602,10.5.1.20,9001,10.5.1.2,37460,TCP,1,537,3767069019,1243882282
2024-10-31 11:31:25.405086,66,10.5.1.2,37460,10.5.1.20,9001,TCP,537,537,1243882393,3767069019
2024-10-31 11:31:25.405315,602,10.5.1.2,37460,10.5.1.20,9001,TCP,537,537,1243882393,3767069019
2024-10-31 11:31:25.405355,66,10.5.1.20,9001,10.5.1.2,37460,TCP,537,1073,3767069019,1243882393
2024-10-31 11:31:25.523710,2144,10.5.1.20,9001,10.5.1.2,37460,TCP,537,1073,3767069138,1243882393
2024-10-31 11:31:25.523867,66,10.5.1.2,37460,10.5.1.20,9001,TCP,1073,2615,1243882512,3767069138
2024-10-31 11:31:25.524941,602,10.5.1.2,37460,10.5.1.20,9001,TCP,1073,2615,1243882513,3767069138
2024-10-31 11:31:25.525040,66,10.5.1.20,9001,10.5.1.2,37460,TCP,2615,1609,3767069139,1243882513
2024-10-31 11:31:28.998827,1630,10.5.1.2,37460,10.5.1.20,9001,TCP,1609,2615,1243885987,3767069139
2024-10-31 11:31:28.998920,66,10.5.1.20,9001,10.5.1.2,37460,TCP,2615,3173,3767072613,1243885987
2024-10-31 11:31:28.999790,602,10.5.1.20,9001,10.5.1.2,37460,TCP,2615,3173,3767072614,1243885987
2024-10-31 11:31:29.000255,602,10.5.1.2,37460,10.5.1.20,9001,TCP,3173,3151,1243885988,3767072614
