Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:32:18.542577,602,10.5.1.20,9001,10.5.1.2,37460,TCP,1,1,3767122157,1243935484
2024-10-31 11:32:18.542608,66,10.5.1.2,37460,10.5.1.20,9001,TCP,1,537,1243935531,3767122157
2024-10-31 11:32:18.542785,602,10.5.1.2,37460,10.5.1.20,9001,TCP,1,537,1243935531,3767122157
2024-10-31 11:32:18.542844,66,10.5.1.20,9001,10.5.1.2,37460,TCP,537,537,3767122157,1243935531
2024-10-31 11:32:18.589723,602,10.5.1.20,9001,10.5.1.2,37460,TCP,537,537,3767122204,1243935531
2024-10-31 11:32:18.590533,602,10.5.1.2,37460,10.5.1.20,9001,TCP,537,1073,1243935579,3767122204
2024-10-31 11:32:18.590608,66,10.5.1.20,9001,10.5.1.2,37460,TCP,1073,1073,3767122205,1243935579
2024-10-31 11:32:21.049889,602,10.5.1.2,37460,10.5.1.20,9001,TCP,1073,1073,1243938038,3767122205
2024-10-31 11:32:21.049964,66,10.5.1.20,9001,10.5.1.2,37460,TCP,1073,1609,3767124664,1243938038
2024-10-31 11:32:21.050355,602,10.5.1.20,9001,10.5.1.2,37460,TCP,1073,1609,3767124664,1243938038
