Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-05 09:55:10.555988,602,10.5.1.20,9001,10.5.1.2,52426,TCP,1,1,3756163955,3663813678
2024-11-05 09:55:10.556355,602,10.5.1.2,52426,10.5.1.20,9001,TCP,1,537,3663813738,3756163955
2024-11-05 09:55:10.556418,66,10.5.1.20,9001,10.5.1.2,52426,TCP,537,537,3756163956,3663813738
2024-11-05 09:55:10.618458,602,10.5.1.20,9001,10.5.1.2,52426,TCP,537,537,3756164018,3663813738
2024-11-05 09:55:10.619266,602,10.5.1.2,52426,10.5.1.20,9001,TCP,537,1073,3663813800,3756164018
2024-11-05 09:55:10.619335,66,10.5.1.20,9001,10.5.1.2,52426,TCP,1073,1073,3756164019,3663813800
2024-11-05 09:55:14.223099,602,10.5.1.20,9001,10.5.1.2,52426,TCP,1073,1073,3756167622,3663813800
2024-11-05 09:55:14.265167,66,10.5.1.2,52426,10.5.1.20,9001,TCP,1073,1609,3663817446,3756167622
2024-11-05 09:55:14.549651,602,10.5.1.2,52426,10.5.1.20,9001,TCP,1073,1609,3663817731,3756167622
2024-11-05 09:55:14.549721,66,10.5.1.20,9001,10.5.1.2,52426,TCP,1609,1609,3756167949,3663817731
2024-11-05 09:55:14.549909,602,10.5.1.20,9001,10.5.1.2,52426,TCP,1609,1609,3756167949,3663817731
2024-11-05 09:55:14.549935,66,10.5.1.2,52426,10.5.1.20,9001,TCP,1609,2145,3663817731,3756167949
2024-11-05 09:55:14.552223,602,10.5.1.2,52426,10.5.1.20,9001,TCP,1609,2145,3663817733,3756167949
2024-11-05 09:55:14.552536,602,10.5.1.20,9001,10.5.1.2,52426,TCP,2145,2145,3756167952,3663817733
2024-11-05 09:55:14.595171,66,10.5.1.2,52426,10.5.1.20,9001,TCP,2145,2681,3663817776,3756167952
2024-11-05 09:55:14.595232,602,10.5.1.20,9001,10.5.1.2,52426,TCP,2681,2145,3756167994,3663817776
2024-11-05 09:55:14.595245,66,10.5.1.2,52426,10.5.1.20,9001,TCP,2145,3217,3663817776,3756167994
2024-11-05 09:55:17.362090,602,10.5.1.2,52426,10.5.1.20,9001,TCP,2145,3217,3663820543,3756167994
2024-11-05 09:55:17.405215,66,10.5.1.20,9001,10.5.1.2,52426,TCP,3217,2681,3756170804,3663820543
2024-11-05 09:55:18.019366,602,10.5.1.2,52426,10.5.1.20,9001,TCP,2681,3217,3663821201,3756170804
2024-11-05 09:55:18.019462,66,10.5.1.20,9001,10.5.1.2,52426,TCP,3217,3217,3756171419,3663821201
2024-11-05 09:55:18.019944,602,10.5.1.20,9001,10.5.1.2,52426,TCP,3217,3217,3756171419,3663821201
2024-11-05 09:55:18.019967,66,10.5.1.2,52426,10.5.1.20,9001,TCP,3217,3753,3663821201,3756171419
2024-11-05 09:55:18.020622,602,10.5.1.2,52426,10.5.1.20,9001,TCP,3217,3753,3663821202,3756171419
2024-11-05 09:55:18.025739,602,10.5.1.20,9001,10.5.1.2,52426,TCP,3753,3753,3756171425,3663821202
2024-11-05 09:55:18.026512,602,10.5.1.2,52426,10.5.1.20,9001,TCP,3753,4289,3663821208,3756171425
2024-11-05 09:55:18.032987,602,10.5.1.20,9001,10.5.1.2,52426,TCP,4289,4289,3756171432,3663821208
2024-11-05 09:55:18.075159,66,10.5.1.2,52426,10.5.1.20,9001,TCP,4289,4825,3663821256,3756171432
2024-11-05 09:55:20.326338,602,10.5.1.20,9001,10.5.1.2,52426,TCP,4825,4289,3756173726,3663821256
