Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:39:54.185141,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,835056020,2655063039
2024-11-04 17:39:54.185238,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2655068424,835056020
2024-11-04 17:39:54.204586,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2655068443,835056020
2024-11-04 17:39:54.204833,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,835056040,2655068443
2024-11-04 17:39:54.227150,1116,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2655068466,835056040
2024-11-04 17:39:54.227881,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1587,835056063,2655068466
2024-11-04 17:39:54.269650,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1587,1609,2655068508,835056063
2024-11-04 17:40:00.234345,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1587,1609,2655074473,835056063
2024-11-04 17:40:00.276319,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,2123,835062111,2655074473
2024-11-04 17:40:02.627610,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,2123,835064462,2655074473
2024-11-04 17:40:02.627830,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2123,5679,2655076867,835064462
2024-11-04 17:40:02.627891,152,10.5.1.2,38996,10.5.1.20,9001,TCP,5679,2123,835064463,2655076867
2024-11-04 17:40:02.627949,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2123,5765,2655076867,835064463
2024-11-04 17:40:02.628427,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2123,5765,2655076867,835064463
2024-11-04 17:40:02.628579,66,10.5.1.2,38996,10.5.1.20,9001,TCP,5765,2659,835064463,2655076867
2024-11-04 17:40:02.629855,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2659,5765,2655076869,835064463
2024-11-04 17:40:02.629949,602,10.5.1.2,38996,10.5.1.20,9001,TCP,5765,2659,835064465,2655076867
2024-11-04 17:40:02.676297,66,10.5.1.2,38996,10.5.1.20,9001,TCP,6301,3195,835064511,2655076869
2024-11-04 17:40:02.676428,66,10.5.1.20,9001,10.5.1.2,38996,TCP,3195,6301,2655076915,835064465
2024-11-04 17:40:02.676477,602,10.5.1.2,38996,10.5.1.20,9001,TCP,6301,3195,835064511,2655076915
2024-11-04 17:40:02.676541,602,10.5.1.20,9001,10.5.1.2,38996,TCP,3195,6301,2655076915,835064511
2024-11-04 17:40:02.676604,66,10.5.1.2,38996,10.5.1.20,9001,TCP,6837,3731,835064511,2655076915
2024-11-04 17:40:02.676663,66,10.5.1.20,9001,10.5.1.2,38996,TCP,3731,6837,2655076915,835064511
2024-11-04 17:40:02.677063,602,10.5.1.2,38996,10.5.1.20,9001,TCP,6837,3731,835064512,2655076915
2024-11-04 17:40:02.677165,66,10.5.1.20,9001,10.5.1.2,38996,TCP,3731,7373,2655076916,835064512
2024-11-04 17:40:02.679877,602,10.5.1.20,9001,10.5.1.2,38996,TCP,3731,7373,2655076919,835064512
2024-11-04 17:40:02.680381,602,10.5.1.2,38996,10.5.1.20,9001,TCP,7373,4267,835064515,2655076919
2024-11-04 17:40:02.683898,602,10.5.1.20,9001,10.5.1.2,38996,TCP,4267,7909,2655076923,835064515
2024-11-04 17:40:02.729641,66,10.5.1.2,38996,10.5.1.20,9001,TCP,7909,4803,835064564,2655076923
2024-11-04 17:40:02.729801,602,10.5.1.20,9001,10.5.1.2,38996,TCP,4803,7909,2655076969,835064564
2024-11-04 17:40:02.729868,66,10.5.1.2,38996,10.5.1.20,9001,TCP,7909,5339,835064565,2655076969
