Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:55:57.627879,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,476308034,3553991497
2024-11-04 11:55:57.628049,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3553996573,476308034
2024-11-04 11:55:57.655098,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3553996600,476308034
2024-11-04 11:55:57.655539,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476308062,3553996600
2024-11-04 11:55:57.700913,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3553996646,476308062
2024-11-04 11:55:57.794988,1116,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3553996740,476308062
2024-11-04 11:55:57.795775,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1587,476308202,3553996740
2024-11-04 11:55:57.795837,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1587,1609,3553996741,476308202
2024-11-04 11:56:01.499726,1630,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,1587,476311906,3553996741
2024-11-04 11:56:01.500068,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1587,3173,3554000445,476311906
2024-11-04 11:56:01.500746,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1587,3173,3554000446,476311906
2024-11-04 11:56:01.501482,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3173,2123,476311907,3554000446
2024-11-04 11:56:01.542038,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2123,3709,3554000487,476311907
