Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:29:34.832391,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,478325238,3556012310
2024-11-04 12:29:34.832692,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3556013778,478325238
2024-11-04 12:29:34.864699,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3556013810,478325238
2024-11-04 12:29:34.865379,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,478325271,3556013810
2024-11-04 12:29:34.907331,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3556013852,478325271
2024-11-04 12:29:34.943155,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,537,478325349,3556013852
2024-11-04 12:29:34.943486,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1609,3556013888,478325349
2024-11-04 12:29:34.944146,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1609,3556013889,478325349
2024-11-04 12:29:34.944796,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,1073,478325351,3556013889
2024-11-04 12:29:34.950984,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,2145,3556013896,478325351
2024-11-04 12:29:34.951790,602,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,1609,478325358,3556013896
2024-11-04 12:29:34.957868,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1609,2681,3556013903,478325358
2024-11-04 12:29:34.958266,602,10.5.1.2,43314,10.5.1.20,9001,TCP,2681,2145,478325364,3556013903
2024-11-04 12:29:34.965214,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2145,3217,3556013910,478325364
2024-11-04 12:29:34.965773,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3217,2681,478325372,3556013910
