Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:02:06.403850,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,476676810,3554361139
2024-11-04 12:02:06.404019,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554365349,476676810
2024-11-04 12:02:06.432413,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554365377,476676810
2024-11-04 12:02:06.432685,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476676839,3554365377
2024-11-04 12:02:06.433034,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476676839,3554365377
2024-11-04 12:02:06.477654,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554365423,476676839
2024-11-04 12:02:06.478212,2144,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554365423,476676839
2024-11-04 12:02:06.478399,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,2615,476676884,3554365423
2024-11-04 12:02:06.478626,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,2615,476676885,3554365423
2024-11-04 12:02:06.478810,66,10.5.1.20,9001,10.5.1.2,43314,TCP,2615,1609,3554365424,476676885
2024-11-04 12:02:06.481572,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,2615,476676888,3554365424
2024-11-04 12:02:06.481808,66,10.5.1.20,9001,10.5.1.2,43314,TCP,2615,2145,3554365427,476676888
2024-11-04 12:02:13.978524,1116,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,2615,476684384,3554365427
2024-11-04 12:02:13.978720,66,10.5.1.20,9001,10.5.1.2,43314,TCP,2615,3195,3554372924,476684384
2024-11-04 12:02:13.979121,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2615,3195,3554372924,476684384
2024-11-04 12:02:13.981663,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3195,3151,476684388,3554372924
2024-11-04 12:02:13.984751,602,10.5.1.20,9001,10.5.1.2,43314,TCP,3151,3731,3554372930,476684388
2024-11-04 12:02:13.985176,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3731,3687,476684391,3554372930
2024-11-04 12:02:13.991141,602,10.5.1.20,9001,10.5.1.2,43314,TCP,3687,4267,3554372936,476684391
2024-11-04 12:02:13.991597,602,10.5.1.2,43314,10.5.1.20,9001,TCP,4267,4223,476684398,3554372936
2024-11-04 12:02:13.998310,602,10.5.1.20,9001,10.5.1.2,43314,TCP,4223,4803,3554372943,476684398
