Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:25:05.957938,1116,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,834167793,2654178056
2024-11-04 17:25:05.958027,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,1051,2654180197,834167793
2024-11-04 17:25:06.134402,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,1051,2654180373,834167793
2024-11-04 17:25:06.134496,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1051,537,834167969,2654180373
2024-11-04 17:25:06.134791,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1051,537,834167970,2654180373
2024-11-04 17:25:06.134899,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1587,2654180374,834167970
2024-11-04 17:25:06.692076,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1587,2654180931,834167970
2024-11-04 17:25:06.692557,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1587,1073,834168527,2654180931
2024-11-04 17:25:06.692610,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2123,2654180931,834168527
2024-11-04 17:25:06.820024,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2123,1073,834168655,2654180931
2024-11-04 17:25:06.820215,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2659,2654181059,834168655
2024-11-04 17:25:06.820697,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2659,2654181059,834168655
2024-11-04 17:25:06.823224,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2659,1609,834168658,2654181059
2024-11-04 17:25:06.827051,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,3195,2654181066,834168658
2024-11-04 17:25:06.827801,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3195,2145,834168663,2654181066
2024-11-04 17:25:06.834064,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,3731,2654181073,834168663
2024-11-04 17:25:06.876423,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3731,2681,834168711,2654181073
