Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:23:48.708700,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,837690543,2657702090
2024-11-04 18:23:48.708888,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2657702948,837690543
2024-11-04 18:23:49.129810,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2657703368,837690543
2024-11-04 18:23:49.130464,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,837690965,2657703368
2024-11-04 18:23:49.130804,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2657703370,837690965
2024-11-04 18:23:49.547628,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2657703786,837690965
2024-11-04 18:23:49.548425,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1073,837691383,2657703786
2024-11-04 18:23:49.548746,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,1609,2657703787,837691383
2024-11-04 18:23:54.962968,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1073,837696798,2657703787
2024-11-04 18:23:54.963368,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2657709202,837696798
2024-11-04 18:23:54.963475,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2657709202,837696798
2024-11-04 18:23:54.967126,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,1609,837696802,2657709202
2024-11-04 18:23:54.968178,2144,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,2681,2657709207,837696802
2024-11-04 18:23:54.968669,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,3687,837696803,2657709207
