Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:32:26.346847,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,1,2661820586,841807993
2024-11-04 19:32:26.348059,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,537,841808183,2661820586
2024-11-04 19:32:26.349374,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,537,2661820588,841808183
2024-11-04 19:32:26.586972,3172,10.5.1.20,9001,10.5.1.2,38996,TCP,537,537,2661820826,841808183
2024-11-04 19:32:26.587667,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,3643,841808422,2661820826
2024-11-04 19:32:26.587997,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,3643,841808423,2661820826
2024-11-04 19:32:26.588671,66,10.5.1.20,9001,10.5.1.2,38996,TCP,3643,1073,2661820827,841808423
2024-11-04 19:32:26.595601,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,3643,1073,2661820834,841808423
2024-11-04 19:32:26.596679,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,7263,841808431,2661820834
2024-11-04 19:32:26.599179,2658,10.5.1.20,9001,10.5.1.2,38996,TCP,7263,1073,2661820838,841808431
2024-11-04 19:32:26.599974,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,9855,841808435,2661820838
2024-11-04 19:32:26.602264,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,9855,1073,2661820841,841808435
2024-11-04 19:32:26.603375,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,13475,841808438,2661820841
2024-11-04 19:32:26.607876,2658,10.5.1.20,9001,10.5.1.2,38996,TCP,13475,1073,2661820847,841808438
2024-11-04 19:32:26.608881,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,16067,841808444,2661820847
2024-11-04 19:32:26.766781,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,16067,1073,2661821005,841808444
2024-11-04 19:32:26.767871,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,17631,841808603,2661821005
2024-11-04 19:32:26.770559,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,17631,1073,2661821009,841808603
2024-11-04 19:32:26.771404,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,19195,841808606,2661821009
2024-11-04 19:32:26.771887,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,19195,841808607,2661821009
2024-11-04 19:32:26.773104,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,19195,1609,2661821012,841808607
2024-11-04 19:32:26.773804,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,20759,841808609,2661821012
2024-11-04 19:32:26.779520,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,20759,1609,2661821018,841808609
2024-11-04 19:32:26.781107,1514,10.5.1.20,9001,10.5.1.2,38996,TCP,24829,1609,2661821020,841808609
2024-11-04 19:32:26.781777,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,26277,841808616,2661821018
2024-11-04 19:32:26.782081,760,10.5.1.20,9001,10.5.1.2,38996,TCP,26277,1609,2661821021,841808616
2024-11-04 19:32:26.782844,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,26971,1609,2661821022,841808616
2024-11-04 19:32:26.783458,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,29867,841808618,2661821021
2024-11-04 19:32:26.783767,790,10.5.1.20,9001,10.5.1.2,38996,TCP,29867,1609,2661821022,841808618
