Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:53:50.025831,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,476180432,3553866826
2024-11-04 11:53:50.067568,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3553869012,476180432
2024-11-04 11:53:50.148277,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3553869093,476180432
2024-11-04 11:53:50.148419,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476180554,3553869093
2024-11-04 11:53:50.148890,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476180555,3553869093
2024-11-04 11:53:50.149089,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3553869094,476180555
2024-11-04 11:53:50.275464,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3553869220,476180555
2024-11-04 11:53:50.276172,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1073,476180682,3553869220
2024-11-04 11:53:50.276279,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,1609,3553869221,476180682
2024-11-04 11:53:52.398474,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,1073,476182804,3553869221
2024-11-04 11:53:52.398680,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,2145,3553871344,476182804
2024-11-04 11:53:52.399287,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,2145,3553871344,476182804
2024-11-04 11:53:52.399994,602,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,1609,476182806,3553871344
2024-11-04 11:53:52.405217,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1609,2681,3553871350,476182806
2024-11-04 11:53:52.406090,602,10.5.1.2,43314,10.5.1.20,9001,TCP,2681,2145,476182812,3553871350
2024-11-04 11:53:52.411819,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2145,3217,3553871357,476182812
2024-11-04 11:53:52.454181,66,10.5.1.2,43314,10.5.1.20,9001,TCP,3217,2681,476182860,3553871357
