Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:05:18.967927,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,476869374,3554557263
2024-11-04 12:05:18.968166,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554557913,476869374
2024-11-04 12:05:18.986644,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554557932,476869374
2024-11-04 12:05:18.986797,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476869393,3554557932
2024-11-04 12:05:18.987074,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476869393,3554557932
2024-11-04 12:05:19.027503,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554557972,476869393
2024-11-04 12:05:19.096869,1116,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554558042,476869393
2024-11-04 12:05:19.097705,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1587,476869504,3554558042
2024-11-04 12:05:19.097946,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1587,1609,3554558043,476869504
2024-11-04 12:05:19.592603,1630,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,1587,476869999,3554558043
2024-11-04 12:05:19.593041,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1587,3173,3554558538,476869999
2024-11-04 12:05:19.593869,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1587,3173,3554558539,476869999
2024-11-04 12:05:19.594855,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3173,2123,476870001,3554558539
2024-11-04 12:05:19.600920,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2123,3709,3554558546,476870001
2024-11-04 12:05:19.601505,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3709,2659,476870007,3554558546
2024-11-04 12:05:19.608031,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2659,4245,3554558553,476870007
2024-11-04 12:05:19.608395,602,10.5.1.2,43314,10.5.1.20,9001,TCP,4245,3195,476870014,3554558553
2024-11-04 12:05:19.614765,602,10.5.1.20,9001,10.5.1.2,43314,TCP,3195,4781,3554558560,476870014
2024-11-04 12:05:19.615038,602,10.5.1.2,43314,10.5.1.20,9001,TCP,4781,3731,476870021,3554558560
2024-11-04 12:05:19.657467,66,10.5.1.20,9001,10.5.1.2,43314,TCP,3731,5317,3554558602,476870021
2024-11-04 12:05:25.335644,602,10.5.1.20,9001,10.5.1.2,43314,TCP,3731,5317,3554564281,476870021
2024-11-04 12:05:25.380776,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5317,4267,476875787,3554564281
2024-11-04 12:05:28.266033,602,10.5.1.2,43314,10.5.1.20,9001,TCP,5317,4267,476878672,3554564281
