Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:29:35.459172,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,834437294,2654447316
2024-11-04 17:29:35.489288,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654449728,834437294
2024-11-04 17:29:35.489417,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834437324,2654449728
2024-11-04 17:29:35.489646,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834437324,2654449728
2024-11-04 17:29:35.536496,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654449775,834437324
2024-11-04 17:29:35.551980,1116,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654449791,834437324
2024-11-04 17:29:35.552675,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1587,834437387,2654449791
2024-11-04 17:29:35.552735,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1587,1609,2654449791,834437387
2024-11-04 17:29:39.557920,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1587,1609,2654453797,834437387
2024-11-04 17:29:39.603033,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,2123,834441438,2654453797
2024-11-04 17:29:40.073284,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,2123,834441908,2654453797
2024-11-04 17:29:40.073508,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2123,2145,2654454312,834441908
2024-11-04 17:29:40.074204,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2123,2145,2654454313,834441908
2024-11-04 17:29:40.074314,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,2659,834441909,2654454313
2024-11-04 17:29:40.074690,1116,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,2659,834441909,2654454313
