Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:32:10.260302,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,834592095,2654600829
2024-11-04 17:32:10.260491,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654604499,834592095
2024-11-04 17:32:10.334734,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654604573,834592095
2024-11-04 17:32:10.334833,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834592170,2654604573
2024-11-04 17:32:10.335199,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834592170,2654604573
2024-11-04 17:32:10.335409,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654604574,834592170
2024-11-04 17:32:10.409720,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654604648,834592170
2024-11-04 17:32:10.410392,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1073,834592245,2654604648
2024-11-04 17:32:10.410497,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,1609,2654604649,834592245
2024-11-04 17:32:17.222314,1630,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1073,834599057,2654604649
2024-11-04 17:32:17.222430,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,3173,2654611461,834599057
2024-11-04 17:32:17.223136,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,3173,2654611462,834599057
2024-11-04 17:32:17.226655,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3173,1609,834599061,2654611462
2024-11-04 17:32:17.230694,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,3709,2654611469,834599061
2024-11-04 17:32:17.231056,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3709,2145,834599066,2654611469
