Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:25:48.888973,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,834210724,2654220109
2024-11-04 17:25:48.929828,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654223168,834210724
2024-11-04 17:25:49.079525,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654223318,834210724
2024-11-04 17:25:49.079655,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834210914,2654223318
2024-11-04 17:25:49.080109,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834210915,2654223318
2024-11-04 17:25:49.080226,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654223319,834210915
2024-11-04 17:25:56.865387,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,537,834218700,2654223319
2024-11-04 17:25:56.865483,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1609,2654231104,834218700
2024-11-04 17:25:56.865840,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1609,2654231105,834218700
2024-11-04 17:25:56.867278,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1073,834218702,2654231105
2024-11-04 17:25:56.870002,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2654231109,834218702
2024-11-04 17:25:56.870558,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,1609,834218705,2654231109
2024-11-04 17:25:56.876508,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,2681,2654231115,834218705
2024-11-04 17:25:56.923051,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2145,834218758,2654231115
2024-11-04 17:26:03.680690,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,2681,2654237919,834218758
2024-11-04 17:26:03.680818,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2681,834225516,2654237919
2024-11-04 17:26:05.873139,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2681,834227708,2654237919
2024-11-04 17:26:05.916462,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2681,3217,2654240155,834227708
2024-11-04 17:26:07.442763,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,2681,3217,2654241681,834227708
2024-11-04 17:26:07.442862,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,4245,834229278,2654241681
2024-11-04 17:26:07.447092,3172,10.5.1.20,9001,10.5.1.2,38996,TCP,4245,3217,2654241686,834229278
2024-11-04 17:26:07.447166,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,7351,834229282,2654241686
2024-11-04 17:26:07.632090,1116,10.5.1.20,9001,10.5.1.2,38996,TCP,7351,3217,2654241871,834229282
2024-11-04 17:26:07.632162,66,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,8401,834229467,2654241871
2024-11-04 17:26:07.632802,1116,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,8401,834229468,2654241871
2024-11-04 17:26:07.632919,66,10.5.1.20,9001,10.5.1.2,38996,TCP,8401,4267,2654241872,834229468
2024-11-04 17:26:07.877596,602,10.5.1.2,38996,10.5.1.20,9001,TCP,4267,8401,834229712,2654241872
2024-11-04 17:26:07.877742,66,10.5.1.20,9001,10.5.1.2,38996,TCP,8401,4803,2654242116,834229712
2024-11-04 17:26:07.878173,602,10.5.1.20,9001,10.5.1.2,38996,TCP,8401,4803,2654242117,834229712
