Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:29:20.628824,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,834422464,2654430875
2024-11-04 17:29:20.629067,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654434868,834422464
2024-11-04 17:29:20.852273,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654435091,834422464
2024-11-04 17:29:20.852398,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834422687,2654435091
2024-11-04 17:29:20.852903,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834422688,2654435091
2024-11-04 17:29:20.853055,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654435092,834422688
2024-11-04 17:29:22.051677,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,537,834423886,2654435092
2024-11-04 17:29:22.051809,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1609,2654436291,834423886
2024-11-04 17:29:22.052540,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1609,2654436291,834423886
2024-11-04 17:29:22.053283,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1073,834423888,2654436291
2024-11-04 17:29:22.060664,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2654436299,834423888
2024-11-04 17:29:22.061518,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,1609,834423896,2654436299
2024-11-04 17:29:22.067503,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,2681,2654436306,834423896
2024-11-04 17:29:22.109708,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2145,834423944,2654436306
2024-11-04 17:29:25.076985,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,2681,2654439316,834423944
2024-11-04 17:29:25.077127,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2681,834426912,2654439316
2024-11-04 17:29:25.077802,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2681,834426913,2654439316
2024-11-04 17:29:25.119742,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2681,3217,2654439358,834426913
