Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:18:37.732584,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,833779567,2653787191
2024-11-04 17:18:37.773143,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2653792012,833779567
2024-11-04 17:18:37.787259,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2653792026,833779567
2024-11-04 17:18:37.787269,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,833779622,2653792026
2024-11-04 17:18:37.787564,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,833779622,2653792026
2024-11-04 17:18:37.787618,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2653792026,833779622
2024-11-04 17:18:37.882976,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2653792122,833779622
2024-11-04 17:18:37.883011,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,2101,833779718,2653792122
2024-11-04 17:18:37.883948,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,2101,833779719,2653792122
2024-11-04 17:18:37.884030,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,1609,2653792123,833779719
2024-11-04 17:18:38.492064,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,2101,833780327,2653792123
2024-11-04 17:18:38.492163,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,2145,2653792731,833780327
2024-11-04 17:18:38.492674,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,2145,2653792731,833780327
2024-11-04 17:18:38.493383,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,2637,833780328,2653792731
2024-11-04 17:18:38.500767,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2637,2681,2653792739,833780328
2024-11-04 17:18:38.501581,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,3173,833780336,2653792739
