Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:40:37.236057,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,835099071,2655107955
2024-11-04 17:40:37.236208,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2655111475,835099071
2024-11-04 17:40:37.267183,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2655111506,835099071
2024-11-04 17:40:37.267541,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,835099102,2655111506
2024-11-04 17:40:37.309679,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2655111548,835099102
2024-11-04 17:40:37.465997,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2655111705,835099102
2024-11-04 17:40:37.466299,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,2101,835099301,2655111705
2024-11-04 17:40:37.468100,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,1073,2655111707,835099301
2024-11-04 17:40:37.468466,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,5721,835099303,2655111707
2024-11-04 17:40:37.470376,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,5721,1073,2655111709,835099303
2024-11-04 17:40:37.470757,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,9791,835099305,2655111709
2024-11-04 17:40:37.470997,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,9791,1073,2655111710,835099305
2024-11-04 17:40:37.471284,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,13861,835099306,2655111710
2024-11-04 17:40:37.471502,730,10.5.1.20,9001,10.5.1.2,38996,TCP,13861,1073,2655111710,835099306
2024-11-04 17:40:37.474327,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,14525,1073,2655111713,835099306
2024-11-04 17:40:37.474616,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,17421,835099309,2655111710
2024-11-04 17:40:37.474771,1240,10.5.1.20,9001,10.5.1.2,38996,TCP,17421,1073,2655111713,835099309
2024-11-04 17:40:37.474991,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,18595,1073,2655111714,835099309
2024-11-04 17:40:37.475132,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,18595,835099310,2655111713
2024-11-04 17:40:37.475224,4410,10.5.1.20,9001,10.5.1.2,38996,TCP,21491,1073,2655111714,835099309
2024-11-04 17:40:37.475393,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,21491,835099310,2655111714
2024-11-04 17:40:37.475544,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,25835,835099310,2655111714
2024-11-04 17:40:37.475684,966,10.5.1.20,9001,10.5.1.2,38996,TCP,25835,1609,2655111714,835099310
2024-11-04 17:40:37.475871,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,26735,1609,2655111715,835099310
2024-11-04 17:40:37.476056,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,29631,835099311,2655111714
2024-11-04 17:40:37.476194,982,10.5.1.20,9001,10.5.1.2,38996,TCP,29631,1609,2655111715,835099311
