Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:49:47.125163,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,475937531,3553625290
2024-11-04 11:49:47.125241,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3553626070,475937531
2024-11-04 11:49:47.151808,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3553626097,475937531
2024-11-04 11:49:47.152029,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,475937558,3553626097
2024-11-04 11:49:47.181819,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3553626127,475937558
2024-11-04 11:49:47.182759,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1073,475937589,3553626127
2024-11-04 11:49:47.224227,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,1609,3553626169,475937589
2024-11-04 11:49:49.186782,2144,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,1073,475939593,3553626169
2024-11-04 11:49:49.186910,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,3687,3553628132,475939593
2024-11-04 11:49:49.187610,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,3687,3553628133,475939593
2024-11-04 11:49:49.188281,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3687,1609,475939594,3553628133
2024-11-04 11:49:49.194711,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1609,4223,3553628140,475939594
