Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:07:37.315301,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,843919150,2663925107
2024-11-04 20:07:37.315884,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2663931555,843919150
2024-11-04 20:07:37.361034,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2663931600,843919150
2024-11-04 20:07:37.361861,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,843919197,2663931600
2024-11-04 20:07:37.362280,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2663931601,843919197
2024-11-04 20:07:37.440854,2144,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2663931680,843919197
2024-11-04 20:07:37.441966,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,2615,843919277,2663931680
2024-11-04 20:07:37.450587,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,2615,1073,2663931689,843919277
2024-11-04 20:07:37.451495,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,4179,843919286,2663931689
2024-11-04 20:07:37.451843,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,4179,843919287,2663931689
2024-11-04 20:07:37.452217,66,10.5.1.20,9001,10.5.1.2,38996,TCP,4179,1609,2663931691,843919287
2024-11-04 20:07:37.466126,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,4179,1609,2663931705,843919287
2024-11-04 20:07:37.467766,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,8249,843919302,2663931705
