Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:53:45.572352,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,843087407,2663097079
2024-11-04 19:53:45.573164,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2663099812,843087407
2024-11-04 19:53:45.598766,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2663099837,843087407
2024-11-04 19:53:45.599342,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,843087434,2663099837
2024-11-04 19:53:45.642227,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2663099881,843087434
2024-11-04 19:53:45.659631,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2663099898,843087434
2024-11-04 19:53:45.661052,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1073,843087496,2663099898
2024-11-04 19:53:45.661741,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,1609,2663099900,843087496
2024-11-04 19:53:46.497354,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1073,843088332,2663099900
2024-11-04 19:53:46.498355,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2663100737,843088332
2024-11-04 19:53:46.499316,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2145,2663100738,843088332
2024-11-04 19:53:46.501045,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,1609,843088336,2663100738
2024-11-04 19:53:46.506489,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,2681,2663100745,843088336
2024-11-04 19:53:46.508516,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2145,843088343,2663100745
2024-11-04 19:53:46.515739,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,3217,2663100754,843088343
2024-11-04 19:53:46.516884,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3217,2681,843088352,2663100754
