Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:30:38.820787,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,834500655,2654508393
2024-11-04 17:30:38.820899,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654513060,834500655
2024-11-04 17:30:38.839763,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654513078,834500655
2024-11-04 17:30:38.839892,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834500675,2654513078
2024-11-04 17:30:38.840069,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834500675,2654513078
2024-11-04 17:30:38.883058,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654513122,834500675
2024-11-04 17:30:38.912632,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654513151,834500675
2024-11-04 17:30:38.913521,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1073,834500748,2654513151
2024-11-04 17:30:38.913678,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,1609,2654513152,834500748
2024-11-04 17:30:44.137376,3686,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1073,834505972,2654513152
2024-11-04 17:30:44.137634,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,5229,2654518376,834505972
2024-11-04 17:30:44.138209,1116,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,5229,2654518377,834505972
2024-11-04 17:30:44.139379,1116,10.5.1.2,38996,10.5.1.20,9001,TCP,5229,2123,834505974,2654518377
2024-11-04 17:30:44.143722,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2123,6279,2654518382,834505974
2024-11-04 17:30:44.144559,602,10.5.1.2,38996,10.5.1.20,9001,TCP,6279,2659,834505979,2654518382
2024-11-04 17:30:44.183559,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2659,6815,2654518422,834505979
2024-11-04 17:30:44.184167,602,10.5.1.2,38996,10.5.1.20,9001,TCP,6815,3195,834506019,2654518422
2024-11-04 17:30:44.190269,602,10.5.1.20,9001,10.5.1.2,38996,TCP,3195,7351,2654518429,834506019
2024-11-04 17:30:44.190602,602,10.5.1.2,38996,10.5.1.20,9001,TCP,7351,3731,834506025,2654518429
2024-11-04 17:30:44.193927,602,10.5.1.20,9001,10.5.1.2,38996,TCP,3731,7887,2654518433,834506025
2024-11-04 17:30:44.236353,66,10.5.1.2,38996,10.5.1.20,9001,TCP,7887,4267,834506071,2654518433
2024-11-04 17:30:44.236469,602,10.5.1.20,9001,10.5.1.2,38996,TCP,4267,7887,2654518475,834506071
2024-11-04 17:30:44.236517,66,10.5.1.2,38996,10.5.1.20,9001,TCP,7887,4803,834506071,2654518475
2024-11-04 17:30:44.236648,602,10.5.1.2,38996,10.5.1.20,9001,TCP,7887,4803,834506071,2654518475
2024-11-04 17:30:44.279739,66,10.5.1.20,9001,10.5.1.2,38996,TCP,4803,8423,2654518518,834506071
2024-11-04 17:30:45.138498,1116,10.5.1.2,38996,10.5.1.20,9001,TCP,8423,4803,834506973,2654518518
2024-11-04 17:30:45.138755,66,10.5.1.20,9001,10.5.1.2,38996,TCP,4803,9473,2654519377,834506973
2024-11-04 17:30:45.139491,1116,10.5.1.20,9001,10.5.1.2,38996,TCP,4803,9473,2654519378,834506973
2024-11-04 17:30:45.140687,1116,10.5.1.2,38996,10.5.1.20,9001,TCP,9473,5853,834506975,2654519378
2024-11-04 17:30:45.144124,1116,10.5.1.20,9001,10.5.1.2,38996,TCP,5853,10523,2654519383,834506975
2024-11-04 17:30:45.145461,1116,10.5.1.2,38996,10.5.1.20,9001,TCP,10523,6903,834506980,2654519383
2024-11-04 17:30:45.150889,602,10.5.1.20,9001,10.5.1.2,38996,TCP,6903,11573,2654519390,834506980
2024-11-04 17:30:45.151382,602,10.5.1.2,38996,10.5.1.20,9001,TCP,11573,7439,834506986,2654519390
2024-11-04 17:30:45.156718,602,10.5.1.20,9001,10.5.1.2,38996,TCP,7439,12109,2654519395,834506986
2024-11-04 17:30:45.156916,602,10.5.1.2,38996,10.5.1.20,9001,TCP,12109,7975,834506992,2654519395
2024-11-04 17:30:45.163723,602,10.5.1.20,9001,10.5.1.2,38996,TCP,7975,12645,2654519402,834506992
