Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:26:13.859507,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,841435694,2661447033
2024-11-04 19:26:13.860192,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2661448099,841435694
2024-11-04 19:26:14.222470,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2661448461,841435694
2024-11-04 19:26:14.223070,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,841436058,2661448461
2024-11-04 19:26:14.223687,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,841436058,2661448461
2024-11-04 19:26:14.224317,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2661448463,841436058
2024-11-04 19:26:14.582225,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2661448821,841436058
2024-11-04 19:26:14.583328,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1073,841436418,2661448821
2024-11-04 19:26:14.583948,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,1609,2661448823,841436418
2024-11-04 19:26:22.893864,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1073,841444729,2661448823
