Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:51:53.576126,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,476063982,3553752283
2024-11-04 11:51:53.617588,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3553752562,476063982
2024-11-04 11:51:53.624157,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3553752569,476063982
2024-11-04 11:51:53.624293,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476064030,3553752569
2024-11-04 11:51:53.624943,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476064031,3553752569
2024-11-04 11:51:53.625072,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3553752570,476064031
2024-11-04 11:51:53.673621,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3553752619,476064031
2024-11-04 11:51:53.674210,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1073,476064080,3553752619
2024-11-04 11:51:53.674336,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,1609,3553752619,476064080
2024-11-04 11:51:54.285691,1116,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,1073,476064692,3553752619
2024-11-04 11:51:54.285869,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,2659,3553753231,476064692
2024-11-04 11:51:54.286266,1116,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,2659,3553753231,476064692
2024-11-04 11:51:54.288444,1116,10.5.1.2,43314,10.5.1.20,9001,TCP,2659,2123,476064694,3553753231
2024-11-04 11:51:54.291395,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2123,3709,3553753236,476064694
2024-11-04 11:51:54.292472,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3709,2659,476064698,3553753236
2024-11-04 11:51:54.294884,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2659,4245,3553753240,476064698
2024-11-04 11:51:54.295308,602,10.5.1.2,43314,10.5.1.20,9001,TCP,4245,3195,476064701,3553753240
2024-11-04 11:51:54.301904,602,10.5.1.20,9001,10.5.1.2,43314,TCP,3195,4781,3553753247,476064701
2024-11-04 11:51:54.302127,602,10.5.1.2,43314,10.5.1.20,9001,TCP,4781,3731,476064708,3553753247
2024-11-04 11:51:54.307911,602,10.5.1.20,9001,10.5.1.2,43314,TCP,3731,5317,3553753253,476064708
2024-11-04 11:51:54.354185,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5317,4267,476064760,3553753253
2024-11-04 11:51:54.354271,602,10.5.1.20,9001,10.5.1.2,43314,TCP,4267,5317,3553753299,476064760
2024-11-04 11:51:54.354309,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5317,4803,476064760,3553753299
2024-11-04 11:51:54.354493,602,10.5.1.2,43314,10.5.1.20,9001,TCP,5317,4803,476064760,3553753299
2024-11-04 11:51:54.397553,66,10.5.1.20,9001,10.5.1.2,43314,TCP,4803,5853,3553753342,476064760
2024-11-04 11:51:55.286023,1116,10.5.1.2,43314,10.5.1.20,9001,TCP,5853,4803,476065692,3553753342
2024-11-04 11:51:55.286166,66,10.5.1.20,9001,10.5.1.2,43314,TCP,4803,6903,3553754231,476065692
2024-11-04 11:51:55.286665,602,10.5.1.20,9001,10.5.1.2,43314,TCP,4803,6903,3553754232,476065692
2024-11-04 11:51:55.287298,602,10.5.1.2,43314,10.5.1.20,9001,TCP,6903,5339,476065693,3553754232
2024-11-04 11:51:55.288587,602,10.5.1.20,9001,10.5.1.2,43314,TCP,5339,7439,3553754234,476065693
2024-11-04 11:51:55.289021,602,10.5.1.2,43314,10.5.1.20,9001,TCP,7439,5875,476065695,3553754234
2024-11-04 11:51:55.291481,602,10.5.1.20,9001,10.5.1.2,43314,TCP,5875,7975,3553754236,476065695
2024-11-04 11:51:55.292095,602,10.5.1.2,43314,10.5.1.20,9001,TCP,7975,6411,476065698,3553754236
2024-11-04 11:51:55.294453,602,10.5.1.20,9001,10.5.1.2,43314,TCP,6411,8511,3553754239,476065698
2024-11-04 11:51:55.294854,602,10.5.1.2,43314,10.5.1.20,9001,TCP,8511,6947,476065701,3553754239
2024-11-04 11:51:55.297754,602,10.5.1.20,9001,10.5.1.2,43314,TCP,6947,9047,3553754243,476065701
2024-11-04 11:51:55.298098,602,10.5.1.2,43314,10.5.1.20,9001,TCP,9047,7483,476065704,3553754243
