Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:05:05.450979,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,840167286,2660178349
2024-11-04 19:05:05.451397,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2660179690,840167286
2024-11-04 19:05:07.633377,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,1,840169468,2660179690
2024-11-04 19:05:07.633801,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,1073,2660181872,840169468
2024-11-04 19:05:14.430217,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,1073,2660188669,840169468
2024-11-04 19:05:14.430645,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,537,840176265,2660188669
2024-11-04 19:05:15.333816,1630,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,537,840177169,2660188669
2024-11-04 19:05:15.334358,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,2637,2660189573,840177169
2024-11-04 19:05:15.335837,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,2637,2660189575,840177169
2024-11-04 19:05:15.336117,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2637,1073,840177171,2660189575
2024-11-04 19:05:15.336638,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2637,1073,840177171,2660189575
2024-11-04 19:05:15.343233,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,3173,2660189582,840177171
2024-11-04 19:05:15.344443,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3173,1609,840177179,2660189582
2024-11-04 19:05:15.349440,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,3709,2660189588,840177179
2024-11-04 19:05:15.350074,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3709,2145,840177185,2660189588
2024-11-04 19:05:15.356011,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,4245,2660189595,840177185
