Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:29:45.370252,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,478335776,3556021774
2024-11-04 12:29:45.370412,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3556024315,478335776
2024-11-04 12:29:45.625611,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3556024571,478335776
2024-11-04 12:29:45.625959,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,478336032,3556024571
2024-11-04 12:29:45.626520,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,478336032,3556024571
2024-11-04 12:29:45.627021,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3556024572,478336032
2024-11-04 12:29:45.885274,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3556024830,478336032
2024-11-04 12:29:45.886216,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1073,478336292,3556024830
2024-11-04 12:29:45.886522,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,1609,3556024831,478336292
2024-11-04 12:29:45.954103,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,1073,478336360,3556024831
2024-11-04 12:29:45.954394,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,2145,3556024899,478336360
2024-11-04 12:29:45.954835,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,2145,3556024900,478336360
2024-11-04 12:29:45.957489,602,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,1609,478336363,3556024900
2024-11-04 12:29:45.961362,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1609,2681,3556024906,478336363
2024-11-04 12:29:45.962130,602,10.5.1.2,43314,10.5.1.20,9001,TCP,2681,2145,478336368,3556024906
2024-11-04 12:29:45.967590,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2145,3217,3556024913,478336368
