Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:52:20.496418,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,843002331,2663013626
2024-11-04 19:52:20.497361,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,4071,2663014736,843002331
2024-11-04 19:52:20.497683,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,4071,1,843002332,2663014736
2024-11-04 19:52:20.498495,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,8141,2663014737,843002332
2024-11-04 19:52:20.498853,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,8141,1,843002334,2663014737
2024-11-04 19:52:20.499675,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,12211,2663014738,843002334
2024-11-04 19:52:20.499970,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,12211,1,843002335,2663014738
2024-11-04 19:52:20.500797,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,16281,2663014740,843002335
2024-11-04 19:52:20.501097,344,10.5.1.2,38996,10.5.1.20,9001,TCP,16281,1,843002336,2663014740
2024-11-04 19:52:20.501517,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,16559,2663014740,843002336
2024-11-04 19:52:20.501857,3880,10.5.1.2,38996,10.5.1.20,9001,TCP,16559,1,843002337,2663014740
2024-11-04 19:52:20.502649,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,20373,2663014741,843002337
2024-11-04 19:52:20.502952,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,20373,1,843002338,2663014741
2024-11-04 19:52:20.503610,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,24443,2663014742,843002338
2024-11-04 19:52:20.503887,3042,10.5.1.2,38996,10.5.1.20,9001,TCP,24443,1,843002339,2663014742
2024-11-04 19:52:20.504478,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,27419,2663014743,843002339
2024-11-04 19:52:20.504840,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,27419,1,843002340,2663014743
2024-11-04 19:52:20.505702,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,31489,2663014744,843002340
2024-11-04 19:52:20.505981,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,31489,1,843002341,2663014744
2024-11-04 19:52:20.506771,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,35559,2663014745,843002341
2024-11-04 19:52:20.507043,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,35559,1,843002342,2663014745
2024-11-04 19:52:20.507766,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,39629,2663014746,843002342
2024-11-04 19:52:20.508031,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,39629,1,843002343,2663014746
2024-11-04 19:52:20.508925,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,43699,2663014748,843002343
2024-11-04 19:52:20.509278,344,10.5.1.2,38996,10.5.1.20,9001,TCP,43699,1,843002344,2663014748
2024-11-04 19:52:20.509648,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,43977,2663014748,843002344
