Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:57:19.653863,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,476390060,3554073527
2024-11-04 11:57:19.694216,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554078639,476390060
2024-11-04 11:57:19.943887,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554078889,476390060
2024-11-04 11:57:19.944078,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476390350,3554078889
2024-11-04 11:57:19.944495,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476390350,3554078889
2024-11-04 11:57:19.944672,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554078890,476390350
2024-11-04 11:57:20.238563,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554079184,476390350
2024-11-04 11:57:20.239529,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1073,476390646,3554079184
2024-11-04 11:57:20.239648,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,1609,3554079185,476390646
2024-11-04 11:57:20.244686,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,1609,3554079190,476390646
