Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:13:04.678320,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,477335084,3555020347
2024-11-04 12:13:04.678493,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3555023623,477335084
2024-11-04 12:13:09.084406,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3555028029,477335084
2024-11-04 12:13:09.127394,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,477339533,3555028029
2024-11-04 12:13:14.987633,1116,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,477345394,3555028029
2024-11-04 12:13:14.988095,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1587,3555033933,477345394
2024-11-04 12:13:20.294177,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1587,3555039239,477345394
2024-11-04 12:13:20.294545,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1587,1073,477350701,3555039239
2024-11-04 12:13:24.995401,1116,10.5.1.2,43314,10.5.1.20,9001,TCP,1587,1073,477355401,3555039239
2024-11-04 12:13:24.995841,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,2637,3555043941,477355401
2024-11-04 12:13:32.753567,602,10.5.1.2,43314,10.5.1.20,9001,TCP,2637,1073,477363160,3555043941
2024-11-04 12:13:32.753814,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,3173,3555051699,477363160
2024-11-04 12:13:36.004680,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3173,1073,477366411,3555051699
2024-11-04 12:13:36.004939,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,3709,3555054950,477366411
2024-11-04 12:13:39.009240,2144,10.5.1.2,43314,10.5.1.20,9001,TCP,3709,1073,477369415,3555054950
2024-11-04 12:13:39.009668,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,5787,3555057955,477369415
2024-11-04 12:13:39.011600,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,5787,3555057957,477369415
2024-11-04 12:13:39.011829,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5787,1609,477369418,3555057957
2024-11-04 12:13:39.012600,602,10.5.1.2,43314,10.5.1.20,9001,TCP,5787,1609,477369419,3555057957
2024-11-04 12:13:39.018055,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1609,6323,3555057963,477369419
2024-11-04 12:13:39.019207,602,10.5.1.2,43314,10.5.1.20,9001,TCP,6323,2145,477369425,3555057963
2024-11-04 12:13:39.021807,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2145,6859,3555057967,477369425
2024-11-04 12:13:39.022372,602,10.5.1.2,43314,10.5.1.20,9001,TCP,6859,2681,477369428,3555057967
2024-11-04 12:13:39.028480,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2681,7395,3555057973,477369428
2024-11-04 12:13:39.028792,602,10.5.1.2,43314,10.5.1.20,9001,TCP,7395,3217,477369435,3555057973
2024-11-04 12:13:39.070839,66,10.5.1.20,9001,10.5.1.2,43314,TCP,3217,7931,3555058016,477369435
2024-11-04 12:13:45.201282,602,10.5.1.2,43314,10.5.1.20,9001,TCP,7931,3217,477375607,3555058016
2024-11-04 12:13:45.201596,66,10.5.1.20,9001,10.5.1.2,43314,TCP,3217,8467,3555064147,477375607
2024-11-04 12:13:48.821753,602,10.5.1.20,9001,10.5.1.2,43314,TCP,3217,8467,3555067767,477375607
2024-11-04 12:13:48.864066,66,10.5.1.2,43314,10.5.1.20,9001,TCP,8467,3753,477379270,3555067767
2024-11-04 12:13:54.024783,1630,10.5.1.2,43314,10.5.1.20,9001,TCP,8467,3753,477384431,3555067767
2024-11-04 12:13:54.025241,66,10.5.1.20,9001,10.5.1.2,43314,TCP,3753,10031,3555072970,477384431
2024-11-04 12:13:54.027960,602,10.5.1.20,9001,10.5.1.2,43314,TCP,3753,10031,3555072973,477384431
2024-11-04 12:13:54.028299,66,10.5.1.2,43314,10.5.1.20,9001,TCP,10031,4289,477384434,3555072973
2024-11-04 12:13:54.029250,602,10.5.1.2,43314,10.5.1.20,9001,TCP,10031,4289,477384435,3555072973
2024-11-04 12:13:54.031482,602,10.5.1.20,9001,10.5.1.2,43314,TCP,4289,10567,3555072976,477384435
2024-11-04 12:13:54.032404,602,10.5.1.2,43314,10.5.1.20,9001,TCP,10567,4825,477384438,3555072976
2024-11-04 12:13:54.038574,602,10.5.1.20,9001,10.5.1.2,43314,TCP,4825,11103,3555072984,477384438
2024-11-04 12:13:54.039159,602,10.5.1.2,43314,10.5.1.20,9001,TCP,11103,5361,477384445,3555072984
2024-11-04 12:13:54.044747,602,10.5.1.20,9001,10.5.1.2,43314,TCP,5361,11639,3555072990,477384445
2024-11-04 12:13:54.045090,602,10.5.1.2,43314,10.5.1.20,9001,TCP,11639,5897,477384451,3555072990
