Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:37:25.892366,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,1,2654920131,834907707
2024-11-04 17:37:25.892484,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1,537,834907727,2654920131
2024-11-04 17:37:25.892661,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,537,834907727,2654920131
2024-11-04 17:37:25.932990,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,537,2654920172,834907727
2024-11-04 17:37:26.005597,1116,10.5.1.20,9001,10.5.1.2,38996,TCP,537,537,2654920244,834907727
2024-11-04 17:37:26.006160,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,1587,834907841,2654920244
2024-11-04 17:37:26.006270,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1587,1073,2654920245,834907841
2024-11-04 17:37:26.507137,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1587,834908342,2654920245
2024-11-04 17:37:26.507276,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1587,1609,2654920746,834908342
2024-11-04 17:37:26.507599,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1587,1609,2654920746,834908342
2024-11-04 17:37:26.510273,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,2123,834908345,2654920746
2024-11-04 17:37:26.513012,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2123,2145,2654920752,834908345
2024-11-04 17:37:26.513518,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,2659,834908348,2654920752
2024-11-04 17:37:26.520125,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2659,2681,2654920759,834908348
2024-11-04 17:37:26.520488,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,3195,834908355,2654920759
