Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:33:45.940050,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,834687775,2654697319
2024-11-04 17:33:45.940217,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654700179,834687775
2024-11-04 17:33:46.017423,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654700256,834687775
2024-11-04 17:33:46.017896,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834687853,2654700256
2024-11-04 17:33:46.018088,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654700257,834687853
2024-11-04 17:33:46.097760,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654700336,834687853
2024-11-04 17:33:46.097930,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,2101,834687933,2654700336
2024-11-04 17:33:46.098337,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,2101,834687933,2654700336
2024-11-04 17:33:46.098428,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,1609,2654700337,834687933
2024-11-04 17:33:50.306565,3172,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,2101,834692141,2654700337
2024-11-04 17:33:50.306713,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,4715,2654704545,834692141
2024-11-04 17:33:50.310643,1116,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,4715,2654704549,834692141
2024-11-04 17:33:50.311795,1116,10.5.1.2,38996,10.5.1.20,9001,TCP,4715,3151,834692147,2654704549
2024-11-04 17:33:50.350945,602,10.5.1.20,9001,10.5.1.2,38996,TCP,3151,5765,2654704590,834692147
2024-11-04 17:33:50.351482,602,10.5.1.2,38996,10.5.1.20,9001,TCP,5765,3687,834692186,2654704590
2024-11-04 17:33:50.357374,602,10.5.1.20,9001,10.5.1.2,38996,TCP,3687,6301,2654704596,834692186
2024-11-04 17:33:50.357979,602,10.5.1.2,38996,10.5.1.20,9001,TCP,6301,4223,834692193,2654704596
2024-11-04 17:33:50.363808,602,10.5.1.20,9001,10.5.1.2,38996,TCP,4223,6837,2654704602,834692193
2024-11-04 17:33:50.406344,66,10.5.1.2,38996,10.5.1.20,9001,TCP,6837,4759,834692241,2654704602
2024-11-04 17:33:50.406525,602,10.5.1.20,9001,10.5.1.2,38996,TCP,4759,6837,2654704645,834692241
2024-11-04 17:33:50.406615,66,10.5.1.2,38996,10.5.1.20,9001,TCP,6837,5295,834692241,2654704645
2024-11-04 17:33:50.406836,602,10.5.1.2,38996,10.5.1.20,9001,TCP,6837,5295,834692242,2654704645
2024-11-04 17:33:50.410908,602,10.5.1.20,9001,10.5.1.2,38996,TCP,5295,7373,2654704650,834692242
2024-11-04 17:33:50.411151,602,10.5.1.2,38996,10.5.1.20,9001,TCP,7373,5831,834692246,2654704650
2024-11-04 17:33:50.453024,66,10.5.1.20,9001,10.5.1.2,38996,TCP,5831,7909,2654704692,834692246
2024-11-04 17:33:51.306346,602,10.5.1.2,38996,10.5.1.20,9001,TCP,7909,5831,834693141,2654704692
2024-11-04 17:33:51.306464,66,10.5.1.20,9001,10.5.1.2,38996,TCP,5831,8445,2654705545,834693141
2024-11-04 17:33:51.307172,602,10.5.1.20,9001,10.5.1.2,38996,TCP,5831,8445,2654705546,834693141
2024-11-04 17:33:51.307564,602,10.5.1.2,38996,10.5.1.20,9001,TCP,8445,6367,834693142,2654705546
2024-11-04 17:33:51.313831,602,10.5.1.20,9001,10.5.1.2,38996,TCP,6367,8981,2654705553,834693142
2024-11-04 17:33:51.314361,602,10.5.1.2,38996,10.5.1.20,9001,TCP,8981,6903,834693149,2654705553
2024-11-04 17:33:51.337597,602,10.5.1.20,9001,10.5.1.2,38996,TCP,6903,9517,2654705576,834693149
2024-11-04 17:33:51.379695,66,10.5.1.2,38996,10.5.1.20,9001,TCP,9517,7439,834693214,2654705576
