Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:15:52.453770,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,840814288,2660822102
2024-11-04 19:15:52.454562,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2660826693,840814288
2024-11-04 19:15:52.487565,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2660826726,840814288
2024-11-04 19:15:52.488004,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,840814323,2660826726
2024-11-04 19:15:52.488339,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,840814323,2660826726
2024-11-04 19:15:52.532450,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2660826771,840814323
2024-11-04 19:15:52.666004,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2660826905,840814323
2024-11-04 19:15:52.666816,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,2101,840814502,2660826905
2024-11-04 19:15:52.669871,3172,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,1073,2660826909,840814502
2024-11-04 19:15:52.670707,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,5207,840814505,2660826909
2024-11-04 19:15:52.672514,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,5207,1073,2660826911,840814505
2024-11-04 19:15:52.673650,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,8827,840814508,2660826911
2024-11-04 19:15:52.675852,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,8827,1073,2660826915,840814508
2024-11-04 19:15:52.676608,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,12897,840814511,2660826915
2024-11-04 19:15:52.676615,1514,10.5.1.20,9001,10.5.1.2,38996,TCP,12897,1073,2660826915,840814508
2024-11-04 19:15:52.677135,246,10.5.1.20,9001,10.5.1.2,38996,TCP,14345,1073,2660826916,840814511
2024-11-04 19:15:52.677513,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,14525,840814512,2660826915
2024-11-04 19:15:52.680177,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,14525,1073,2660826919,840814512
2024-11-04 19:15:52.681588,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,18595,840814516,2660826919
2024-11-04 19:15:52.681614,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,18595,1073,2660826920,840814512
2024-11-04 19:15:52.682274,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,18595,840814517,2660826919
2024-11-04 19:15:52.682430,1240,10.5.1.20,9001,10.5.1.2,38996,TCP,21491,1073,2660826921,840814516
2024-11-04 19:15:52.682953,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,21491,840814518,2660826920
2024-11-04 19:15:52.683001,66,10.5.1.20,9001,10.5.1.2,38996,TCP,22665,1609,2660826922,840814517
2024-11-04 19:15:52.683393,1514,10.5.1.20,9001,10.5.1.2,38996,TCP,22665,1609,2660826922,840814517
2024-11-04 19:15:52.684031,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,24113,840814519,2660826921
2024-11-04 19:15:52.684462,1338,10.5.1.20,9001,10.5.1.2,38996,TCP,24113,1609,2660826923,840814519
2024-11-04 19:15:52.686330,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,25385,1609,2660826925,840814519
2024-11-04 19:15:52.687275,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,28281,840814522,2660826923
2024-11-04 19:15:52.687280,4410,10.5.1.20,9001,10.5.1.2,38996,TCP,28281,1609,2660826926,840814519
2024-11-04 19:15:52.688177,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,32625,840814523,2660826926
