Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:49:50.934550,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,839252769,2659262223
2024-11-04 18:49:50.935564,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,4071,2659265174,839252769
2024-11-04 18:49:50.935931,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,4071,1,839252771,2659265174
2024-11-04 18:49:50.936765,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,8141,2659265175,839252771
2024-11-04 18:49:50.937213,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,8141,1,839252772,2659265175
2024-11-04 18:49:50.938161,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,12211,2659265177,839252772
2024-11-04 18:49:50.938634,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,12211,1,839252773,2659265177
2024-11-04 18:49:50.939510,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,16281,2659265178,839252773
2024-11-04 18:49:50.940122,344,10.5.1.2,38996,10.5.1.20,9001,TCP,16281,1,839252775,2659265178
2024-11-04 18:49:50.940584,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,16559,2659265179,839252775
2024-11-04 18:49:50.940946,3880,10.5.1.2,38996,10.5.1.20,9001,TCP,16559,1,839252776,2659265179
2024-11-04 18:49:50.942211,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,20373,2659265181,839252776
2024-11-04 18:49:50.943920,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,20373,1,839252779,2659265181
2024-11-04 18:49:50.944916,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,24443,2659265184,839252779
2024-11-04 18:49:50.945243,3042,10.5.1.2,38996,10.5.1.20,9001,TCP,24443,1,839252780,2659265184
2024-11-04 18:49:50.945989,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,27419,2659265185,839252780
2024-11-04 18:49:50.948309,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,27419,1,839252783,2659265185
2024-11-04 18:49:50.949633,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,31489,2659265188,839252783
2024-11-04 18:49:50.950109,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,31489,1,839252785,2659265188
2024-11-04 18:49:50.951166,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,35559,2659265190,839252785
2024-11-04 18:49:50.951540,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,35559,1,839252786,2659265190
2024-11-04 18:49:50.952945,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,39629,2659265192,839252786
2024-11-04 18:49:50.953452,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,39629,1,839252788,2659265192
2024-11-04 18:49:50.954355,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,43699,2659265193,839252788
2024-11-04 18:49:50.954914,344,10.5.1.2,38996,10.5.1.20,9001,TCP,43699,1,839252790,2659265193
2024-11-04 18:49:50.955276,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,43977,2659265194,839252790
2024-11-04 18:49:50.955689,2658,10.5.1.2,38996,10.5.1.20,9001,TCP,43977,1,839252790,2659265194
2024-11-04 18:49:50.956326,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,46569,2659265195,839252790
2024-11-04 18:49:50.972273,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,46569,2659265211,839252790
2024-11-04 18:49:50.973052,602,10.5.1.2,38996,10.5.1.20,9001,TCP,46569,537,839252808,2659265211
2024-11-04 18:49:51.015924,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,47105,2659265255,839252808
2024-11-04 18:49:51.034047,1116,10.5.1.20,9001,10.5.1.2,38996,TCP,537,47105,2659265273,839252808
2024-11-04 18:49:51.035100,602,10.5.1.2,38996,10.5.1.20,9001,TCP,47105,1587,839252870,2659265273
2024-11-04 18:49:51.035371,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1587,47641,2659265274,839252870
2024-11-04 18:49:54.192725,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1587,47641,2659268431,839252870
2024-11-04 18:49:54.235903,66,10.5.1.2,38996,10.5.1.20,9001,TCP,47641,2123,839256071,2659268431
