Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:58:10.449480,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,843352284,2663364105
2024-11-04 19:58:10.450337,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2663364689,843352284
2024-11-04 19:58:10.505019,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2663364744,843352284
2024-11-04 19:58:10.505593,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,843352340,2663364744
2024-11-04 19:58:10.506028,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,843352341,2663364744
2024-11-04 19:58:10.506710,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2663364745,843352341
2024-11-04 19:58:10.753948,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2663364993,843352341
2024-11-04 19:58:10.755818,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,4157,843352591,2663364993
2024-11-04 19:58:10.756686,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,4157,843352591,2663364993
2024-11-04 19:58:10.757437,66,10.5.1.20,9001,10.5.1.2,38996,TCP,4157,1609,2663364996,843352591
2024-11-04 19:58:10.757524,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,4157,1609,2663364996,843352591
2024-11-04 19:58:10.758390,1514,10.5.1.20,9001,10.5.1.2,38996,TCP,8227,1609,2663364997,843352591
2024-11-04 19:58:10.758397,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,8227,843352593,2663364996
2024-11-04 19:58:10.759448,246,10.5.1.20,9001,10.5.1.2,38996,TCP,9675,1609,2663364998,843352593
2024-11-04 19:58:10.760332,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,9855,843352595,2663364997
2024-11-04 19:58:10.762742,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,9855,1609,2663365001,843352595
2024-11-04 19:58:10.764079,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,13925,843352599,2663365001
2024-11-04 19:58:10.764839,666,10.5.1.20,9001,10.5.1.2,38996,TCP,13925,1609,2663365004,843352599
2024-11-04 19:58:10.765567,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,14525,1609,2663365004,843352599
2024-11-04 19:58:10.766699,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,17421,843352601,2663365004
2024-11-04 19:58:10.767334,790,10.5.1.20,9001,10.5.1.2,38996,TCP,17421,1609,2663365006,843352601
2024-11-04 19:58:10.768196,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,18145,843352603,2663365006
2024-11-04 19:58:10.769000,1514,10.5.1.20,9001,10.5.1.2,38996,TCP,18145,1609,2663365008,843352601
2024-11-04 19:58:10.769833,696,10.5.1.20,9001,10.5.1.2,38996,TCP,19593,2145,2663365009,843352603
2024-11-04 19:58:10.770305,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,20223,843352605,2663365008
2024-11-04 19:58:10.772718,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,20223,2145,2663365011,843352605
2024-11-04 19:58:10.773254,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,21787,843352608,2663365011
2024-11-04 19:58:10.783878,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,21787,2145,2663365023,843352608
2024-11-04 19:58:10.784716,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,23351,843352619,2663365023
2024-11-04 19:58:10.788885,3686,10.5.1.20,9001,10.5.1.2,38996,TCP,23351,2145,2663365028,843352619
2024-11-04 19:58:10.789956,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,26971,843352625,2663365028
2024-11-04 19:58:10.792118,4136,10.5.1.20,9001,10.5.1.2,38996,TCP,26971,2145,2663365031,843352625
2024-11-04 19:58:10.793168,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,31041,843352628,2663365031
2024-11-04 19:58:10.793843,152,10.5.1.20,9001,10.5.1.2,38996,TCP,31041,2145,2663365033,843352628
2024-11-04 19:58:10.795351,2962,10.5.1.20,9001,10.5.1.2,38996,TCP,31127,2145,2663365034,843352628
2024-11-04 19:58:10.796152,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,34023,843352631,2663365033
