Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:38:39.588354,602,10.5.1.2,37460,10.5.1.20,9001,TCP,1,1,1244316576,3767500248
2024-10-31 11:38:39.588598,66,10.5.1.20,9001,10.5.1.2,37460,TCP,1,537,3767503203,1244316576
2024-10-31 11:38:39.786259,602,10.5.1.20,9001,10.5.1.2,37460,TCP,1,537,3767503400,1244316576
2024-10-31 11:38:39.786590,602,10.5.1.2,37460,10.5.1.20,9001,TCP,537,537,1244316775,3767503400
2024-10-31 11:38:39.786677,66,10.5.1.20,9001,10.5.1.2,37460,TCP,537,1073,3767503401,1244316775
2024-10-31 11:38:39.991291,602,10.5.1.20,9001,10.5.1.2,37460,TCP,537,1073,3767503605,1244316775
2024-10-31 11:38:39.992417,602,10.5.1.2,37460,10.5.1.20,9001,TCP,1073,1073,1244316980,3767503605
2024-10-31 11:38:39.992686,66,10.5.1.20,9001,10.5.1.2,37460,TCP,1073,1609,3767503607,1244316980
2024-10-31 11:38:41.798829,602,10.5.1.20,9001,10.5.1.2,37460,TCP,1073,1609,3767505413,1244316980
2024-10-31 11:38:41.841826,66,10.5.1.2,37460,10.5.1.20,9001,TCP,1609,1609,1244318830,3767505413
2024-10-31 11:38:42.474730,3686,10.5.1.2,37460,10.5.1.20,9001,TCP,1609,1609,1244319463,3767505413
2024-10-31 11:38:42.474952,66,10.5.1.20,9001,10.5.1.2,37460,TCP,1609,5229,3767506089,1244319463
2024-10-31 11:38:42.475340,602,10.5.1.20,9001,10.5.1.2,37460,TCP,1609,5229,3767506089,1244319463
2024-10-31 11:38:42.475389,66,10.5.1.2,37460,10.5.1.20,9001,TCP,5229,2145,1244319463,3767506089
2024-10-31 11:38:42.478758,602,10.5.1.20,9001,10.5.1.2,37460,TCP,2145,5229,3767506093,1244319463
2024-10-31 11:38:42.478876,602,10.5.1.2,37460,10.5.1.20,9001,TCP,5229,2145,1244319467,3767506089
2024-10-31 11:38:42.521840,66,10.5.1.2,37460,10.5.1.20,9001,TCP,5765,2681,1244319510,3767506093
2024-10-31 11:38:42.522036,66,10.5.1.20,9001,10.5.1.2,37460,TCP,2681,5765,3767506136,1244319467
2024-10-31 11:38:42.522079,602,10.5.1.2,37460,10.5.1.20,9001,TCP,5765,2681,1244319510,3767506136
2024-10-31 11:38:42.522140,602,10.5.1.20,9001,10.5.1.2,37460,TCP,2681,5765,3767506136,1244319510
2024-10-31 11:38:42.522195,66,10.5.1.2,37460,10.5.1.20,9001,TCP,6301,3217,1244319510,3767506136
2024-10-31 11:38:42.522250,66,10.5.1.20,9001,10.5.1.2,37460,TCP,3217,6301,3767506136,1244319510
2024-10-31 11:38:42.522833,602,10.5.1.2,37460,10.5.1.20,9001,TCP,6301,3217,1244319511,3767506136
2024-10-31 11:38:42.522912,66,10.5.1.20,9001,10.5.1.2,37460,TCP,3217,6837,3767506137,1244319511
2024-10-31 11:38:42.525490,602,10.5.1.20,9001,10.5.1.2,37460,TCP,3217,6837,3767506139,1244319511
2024-10-31 11:38:42.526217,602,10.5.1.2,37460,10.5.1.20,9001,TCP,6837,3753,1244319514,3767506139
2024-10-31 11:38:42.532880,602,10.5.1.20,9001,10.5.1.2,37460,TCP,3753,7373,3767506147,1244319514
2024-10-31 11:38:42.534307,602,10.5.1.2,37460,10.5.1.20,9001,TCP,7373,4289,1244319522,3767506147
2024-10-31 11:38:42.536003,602,10.5.1.20,9001,10.5.1.2,37460,TCP,4289,7909,3767506150,1244319522
2024-10-31 11:38:42.536789,602,10.5.1.2,37460,10.5.1.20,9001,TCP,7909,4825,1244319525,3767506150
2024-10-31 11:38:42.578564,66,10.5.1.20,9001,10.5.1.2,37460,TCP,4825,8445,3767506193,1244319525
2024-10-31 11:38:43.475511,1116,10.5.1.2,37460,10.5.1.20,9001,TCP,8445,4825,1244320463,3767506193
2024-10-31 11:38:43.475717,66,10.5.1.20,9001,10.5.1.2,37460,TCP,4825,9495,3767507090,1244320463
2024-10-31 11:38:43.476213,1116,10.5.1.20,9001,10.5.1.2,37460,TCP,4825,9495,3767507090,1244320463
2024-10-31 11:38:43.479068,1116,10.5.1.2,37460,10.5.1.20,9001,TCP,9495,5875,1244320467,3767507090
2024-10-31 11:38:43.482306,1116,10.5.1.20,9001,10.5.1.2,37460,TCP,5875,10545,3767507096,1244320467
2024-10-31 11:38:43.483205,1116,10.5.1.2,37460,10.5.1.20,9001,TCP,10545,6925,1244320471,3767507096
2024-10-31 11:38:43.489786,602,10.5.1.20,9001,10.5.1.2,37460,TCP,6925,11595,3767507104,1244320471
2024-10-31 11:38:43.490166,602,10.5.1.2,37460,10.5.1.20,9001,TCP,11595,7461,1244320478,3767507104
