Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:35:10.112498,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,834771947,2654783780
2024-11-04 17:35:10.112637,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654784351,834771947
2024-11-04 17:35:14.533925,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654788773,834771947
2024-11-04 17:35:14.534153,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834776369,2654788773
2024-11-04 17:35:20.383484,1630,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834782218,2654788773
2024-11-04 17:35:20.383702,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,2101,2654794622,834782218
2024-11-04 17:35:20.386490,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,2101,2654794625,834782218
2024-11-04 17:35:20.386550,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2101,1073,834782221,2654794625
2024-11-04 17:35:20.386894,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2101,1073,834782222,2654794625
2024-11-04 17:35:20.394061,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2637,2654794633,834782222
2024-11-04 17:35:20.394517,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2637,1609,834782229,2654794633
2024-11-04 17:35:20.400895,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,3173,2654794640,834782229
2024-11-04 17:35:20.401192,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3173,2145,834782236,2654794640
2024-11-04 17:35:20.407354,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,3709,2654794646,834782236
2024-11-04 17:35:20.407552,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3709,2681,834782242,2654794646
2024-11-04 17:35:20.453167,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2681,4245,2654794692,834782242
2024-11-04 17:35:23.385092,602,10.5.1.2,38996,10.5.1.20,9001,TCP,4245,2681,834785220,2654794692
2024-11-04 17:35:23.385350,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2681,4781,2654797624,834785220
2024-11-04 17:35:29.495133,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2681,4781,2654803734,834785220
2024-11-04 17:35:29.536335,66,10.5.1.2,38996,10.5.1.20,9001,TCP,4781,3217,834791371,2654803734
2024-11-04 17:35:30.394011,2658,10.5.1.2,38996,10.5.1.20,9001,TCP,4781,3217,834792229,2654803734
