Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:32:20.878285,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,834602713,2654611476
2024-11-04 17:32:20.919721,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654615158,834602713
2024-11-04 17:32:21.024766,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654615263,834602713
2024-11-04 17:32:21.024865,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834602860,2654615263
2024-11-04 17:32:21.025236,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834602860,2654615263
2024-11-04 17:32:21.025444,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654615264,834602860
2024-11-04 17:32:21.175360,3172,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654615414,834602860
2024-11-04 17:32:21.175489,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,3643,834603010,2654615414
2024-11-04 17:32:21.176218,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,3643,834603011,2654615414
2024-11-04 17:32:21.176455,66,10.5.1.20,9001,10.5.1.2,38996,TCP,3643,1609,2654615415,834603011
2024-11-04 17:32:28.067539,602,10.5.1.20,9001,10.5.1.2,38996,TCP,3643,1609,2654622306,834603011
2024-11-04 17:32:28.113020,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,4179,834609948,2654622306
2024-11-04 17:32:28.232179,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,4179,834610067,2654622306
2024-11-04 17:32:28.232353,66,10.5.1.20,9001,10.5.1.2,38996,TCP,4179,2145,2654622471,834610067
