Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:56:30.935999,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,476341342,3554024398
2024-11-04 11:56:30.936335,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554029881,476341342
2024-11-04 11:56:32.529611,1630,10.5.1.2,43314,10.5.1.20,9001,TCP,537,1,476342935,3554029881
2024-11-04 11:56:32.529810,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,2101,3554031475,476342935
2024-11-04 11:56:32.530210,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,2101,3554031475,476342935
2024-11-04 11:56:32.530325,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2101,537,476342936,3554031475
2024-11-04 11:56:32.531697,602,10.5.1.2,43314,10.5.1.20,9001,TCP,2101,537,476342938,3554031475
2024-11-04 11:56:32.534327,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,2637,3554031479,476342938
2024-11-04 11:56:32.534715,602,10.5.1.2,43314,10.5.1.20,9001,TCP,2637,1073,476342941,3554031479
2024-11-04 11:56:32.541866,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,3173,3554031487,476342941
2024-11-04 11:56:32.587508,66,10.5.1.2,43314,10.5.1.20,9001,TCP,3173,1609,476342993,3554031487
2024-11-04 11:56:36.751099,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3173,1609,476347157,3554031487
2024-11-04 11:56:36.794192,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1609,3709,3554035739,476347157
2024-11-04 11:56:43.538864,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3709,1609,476353945,3554035739
2024-11-04 11:56:43.539242,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1609,4245,3554042484,476353945
