Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:28:48.030920,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,834389866,2654401042
2024-11-04 17:28:48.031116,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654402270,834389866
2024-11-04 17:28:48.209728,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654402448,834389866
2024-11-04 17:28:48.209952,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834390045,2654402448
2024-11-04 17:28:48.210404,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834390045,2654402448
2024-11-04 17:28:48.210550,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654402449,834390045
2024-11-04 17:28:48.407089,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654402646,834390045
2024-11-04 17:28:48.407748,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,1073,834390242,2654402646
2024-11-04 17:28:48.407871,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,1609,2654402647,834390242
2024-11-04 17:28:48.413909,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,1609,2654402653,834390242
2024-11-04 17:28:48.456371,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1609,834390291,2654402653
2024-11-04 17:28:51.013182,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,1609,834392848,2654402653
2024-11-04 17:28:51.013654,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,2145,2654405252,834392848
2024-11-04 17:28:51.013737,66,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,2145,834392848,2654405252
2024-11-04 17:28:51.017227,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,2145,834392852,2654405252
2024-11-04 17:28:51.020103,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,2681,2654405259,834392852
2024-11-04 17:28:51.020875,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2681,834392856,2654405259
