Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:40:56.293054,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,1,2662330532,842311524
2024-11-04 19:40:56.294075,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1,537,842318129,2662330532
2024-11-04 19:40:59.396880,1630,10.5.1.2,38996,10.5.1.20,9001,TCP,1,537,842321232,2662330532
2024-11-04 19:40:59.397588,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1565,2662333636,842321232
2024-11-04 19:40:59.399599,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1565,2662333638,842321232
2024-11-04 19:40:59.400574,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1565,1073,842321235,2662333638
2024-11-04 19:40:59.401351,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1565,1073,842321236,2662333638
2024-11-04 19:40:59.406640,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,2101,2662333645,842321236
2024-11-04 19:40:59.407272,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2101,1609,842321242,2662333645
2024-11-04 19:40:59.412131,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1609,2637,2662333651,842321242
2024-11-04 19:40:59.412693,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2637,2145,842321247,2662333651
2024-11-04 19:40:59.419027,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2145,3173,2662333658,842321247
2024-11-04 19:40:59.419498,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3173,2681,842321254,2662333658
2024-11-04 19:40:59.462274,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2681,3709,2662333701,842321254
2024-11-04 19:41:08.834521,602,10.5.1.2,38996,10.5.1.20,9001,TCP,3709,2681,842330669,2662333701
2024-11-04 19:41:08.835580,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2681,4245,2662343074,842330669
2024-11-04 19:41:09.447313,1630,10.5.1.2,38996,10.5.1.20,9001,TCP,4245,2681,842331282,2662343074
2024-11-04 19:41:09.448452,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2681,5809,2662343687,842331282
2024-11-04 19:41:09.452565,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2681,5809,2662343691,842331282
2024-11-04 19:41:09.453612,602,10.5.1.2,38996,10.5.1.20,9001,TCP,5809,3217,842331288,2662343691
2024-11-04 19:41:09.456251,602,10.5.1.20,9001,10.5.1.2,38996,TCP,3217,6345,2662343695,842331288
2024-11-04 19:41:09.457642,602,10.5.1.2,38996,10.5.1.20,9001,TCP,6345,3753,842331292,2662343695
2024-11-04 19:41:09.461422,602,10.5.1.20,9001,10.5.1.2,38996,TCP,3753,6881,2662343700,842331292
2024-11-04 19:41:09.462600,602,10.5.1.2,38996,10.5.1.20,9001,TCP,6881,4289,842331297,2662343700
2024-11-04 19:41:09.466333,602,10.5.1.20,9001,10.5.1.2,38996,TCP,4289,7417,2662343705,842331297
2024-11-04 19:41:09.467078,602,10.5.1.2,38996,10.5.1.20,9001,TCP,7417,4825,842331302,2662343705
2024-11-04 19:41:09.508930,66,10.5.1.20,9001,10.5.1.2,38996,TCP,4825,7953,2662343748,842331302
2024-11-04 19:41:13.614747,602,10.5.1.2,38996,10.5.1.20,9001,TCP,7953,4825,842335449,2662343748
2024-11-04 19:41:13.615674,66,10.5.1.20,9001,10.5.1.2,38996,TCP,4825,8489,2662347854,842335449
2024-11-04 19:41:19.154206,602,10.5.1.20,9001,10.5.1.2,38996,TCP,4825,8489,2662353393,842335449
2024-11-04 19:41:19.195581,66,10.5.1.2,38996,10.5.1.20,9001,TCP,8489,5361,842341030,2662353393
2024-11-04 19:41:24.518234,1630,10.5.1.2,38996,10.5.1.20,9001,TCP,8489,5361,842346353,2662353393
2024-11-04 19:41:24.519467,66,10.5.1.20,9001,10.5.1.2,38996,TCP,5361,10053,2662358758,842346353
2024-11-04 19:41:24.522428,602,10.5.1.20,9001,10.5.1.2,38996,TCP,5361,10053,2662358761,842346353
2024-11-04 19:41:24.523304,66,10.5.1.2,38996,10.5.1.20,9001,TCP,10053,5897,842346358,2662358761
2024-11-04 19:41:24.524128,602,10.5.1.2,38996,10.5.1.20,9001,TCP,10053,5897,842346359,2662358761
2024-11-04 19:41:24.563107,602,10.5.1.20,9001,10.5.1.2,38996,TCP,5897,10589,2662358802,842346359
2024-11-04 19:41:24.563948,602,10.5.1.2,38996,10.5.1.20,9001,TCP,10589,6433,842346399,2662358802
2024-11-04 19:41:24.569522,602,10.5.1.20,9001,10.5.1.2,38996,TCP,6433,11125,2662358808,842346399
2024-11-04 19:41:24.570091,602,10.5.1.2,38996,10.5.1.20,9001,TCP,11125,6969,842346405,2662358808
2024-11-04 19:41:24.576091,602,10.5.1.20,9001,10.5.1.2,38996,TCP,6969,11661,2662358815,842346405
2024-11-04 19:41:24.576486,602,10.5.1.2,38996,10.5.1.20,9001,TCP,11661,7505,842346411,2662358815
2024-11-04 19:41:24.618922,66,10.5.1.20,9001,10.5.1.2,38996,TCP,7505,12197,2662358858,842346411
2024-11-04 19:41:27.703413,602,10.5.1.20,9001,10.5.1.2,38996,TCP,7505,12197,2662361942,842346411
2024-11-04 19:41:27.748900,66,10.5.1.2,38996,10.5.1.20,9001,TCP,12197,8041,842349584,2662361942
2024-11-04 19:41:28.538581,602,10.5.1.2,38996,10.5.1.20,9001,TCP,12197,8041,842350373,2662361942
2024-11-04 19:41:28.539649,66,10.5.1.20,9001,10.5.1.2,38996,TCP,8041,12733,2662362778,842350373
2024-11-04 19:41:37.260461,602,10.5.1.20,9001,10.5.1.2,38996,TCP,8041,12733,2662371499,842350373
2024-11-04 19:41:37.261588,66,10.5.1.2,38996,10.5.1.20,9001,TCP,12733,8577,842359096,2662371499
2024-11-04 19:41:39.582037,2658,10.5.1.2,38996,10.5.1.20,9001,TCP,12733,8577,842361417,2662371499
2024-11-04 19:41:39.583228,66,10.5.1.20,9001,10.5.1.2,38996,TCP,8577,15325,2662373822,842361417
2024-11-04 19:41:39.586182,602,10.5.1.20,9001,10.5.1.2,38996,TCP,8577,15325,2662373825,842361417
2024-11-04 19:41:39.586615,66,10.5.1.2,38996,10.5.1.20,9001,TCP,15325,9113,842361421,2662373825
2024-11-04 19:41:39.587542,602,10.5.1.2,38996,10.5.1.20,9001,TCP,15325,9113,842361422,2662373825
