Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:32:07.941297,602,10.5.1.2,37460,10.5.1.20,9001,TCP,1,1,1243924929,3767108311
2024-10-31 11:32:07.941419,66,10.5.1.20,9001,10.5.1.2,37460,TCP,1,537,3767111555,1243924929
2024-10-31 11:32:07.991411,602,10.5.1.20,9001,10.5.1.2,37460,TCP,1,537,3767111605,1243924929
2024-10-31 11:32:07.991816,602,10.5.1.2,37460,10.5.1.20,9001,TCP,537,537,1243924980,3767111605
2024-10-31 11:32:07.991873,66,10.5.1.20,9001,10.5.1.2,37460,TCP,537,1073,3767111606,1243924980
2024-10-31 11:32:08.045220,602,10.5.1.20,9001,10.5.1.2,37460,TCP,537,1073,3767111659,1243924980
2024-10-31 11:32:08.045660,602,10.5.1.2,37460,10.5.1.20,9001,TCP,1073,1073,1243925034,3767111659
2024-10-31 11:32:08.045709,66,10.5.1.20,9001,10.5.1.2,37460,TCP,1073,1609,3767111660,1243925034
2024-10-31 11:32:08.053087,602,10.5.1.20,9001,10.5.1.2,37460,TCP,1073,1609,3767111667,1243925034
2024-10-31 11:32:08.095260,66,10.5.1.2,37460,10.5.1.20,9001,TCP,1609,1609,1243925083,3767111667
2024-10-31 11:32:10.039923,602,10.5.1.2,37460,10.5.1.20,9001,TCP,1609,1609,1243927028,3767111667
2024-10-31 11:32:10.040485,602,10.5.1.20,9001,10.5.1.2,37460,TCP,1609,2145,3767113654,1243927028
2024-10-31 11:32:10.040514,66,10.5.1.2,37460,10.5.1.20,9001,TCP,2145,2145,1243927029,3767113654
2024-10-31 11:32:10.041103,602,10.5.1.2,37460,10.5.1.20,9001,TCP,2145,2145,1243927029,3767113654
2024-10-31 11:32:10.046044,602,10.5.1.20,9001,10.5.1.2,37460,TCP,2145,2681,3767113660,1243927029
2024-10-31 11:32:10.047158,602,10.5.1.2,37460,10.5.1.20,9001,TCP,2681,2681,1243927035,3767113660
