Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:59:38.333659,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,476528740,3554214843
2024-11-04 11:59:38.334128,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554217279,476528740
2024-11-04 11:59:38.360804,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3554217306,476528740
2024-11-04 11:59:38.360955,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476528767,3554217306
2024-11-04 11:59:38.361280,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,476528767,3554217306
2024-11-04 11:59:38.404185,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554217349,476528767
2024-11-04 11:59:38.548873,1630,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3554217494,476528767
2024-11-04 11:59:38.549067,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,2101,476528955,3554217494
2024-11-04 11:59:38.551622,3686,10.5.1.20,9001,10.5.1.2,43314,TCP,2101,1073,3554217497,476528955
2024-11-04 11:59:38.551827,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,5721,476528958,3554217497
2024-11-04 11:59:38.554452,4136,10.5.1.20,9001,10.5.1.2,43314,TCP,5721,1073,3554217499,476528958
2024-11-04 11:59:38.554657,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,9791,476528961,3554217499
2024-11-04 11:59:38.554665,2962,10.5.1.20,9001,10.5.1.2,43314,TCP,9791,1073,3554217500,476528958
2024-11-04 11:59:38.554836,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,12687,476528961,3554217500
2024-11-04 11:59:38.554979,1240,10.5.1.20,9001,10.5.1.2,43314,TCP,12687,1073,3554217500,476528961
2024-11-04 11:59:38.555144,2962,10.5.1.20,9001,10.5.1.2,43314,TCP,13861,1073,3554217500,476528961
2024-11-04 11:59:38.555226,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,13861,476528961,3554217500
2024-11-04 11:59:38.555401,1454,10.5.1.20,9001,10.5.1.2,43314,TCP,16757,1609,3554217500,476528961
2024-11-04 11:59:38.555589,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,18145,476528962,3554217500
2024-11-04 11:59:38.558122,1630,10.5.1.20,9001,10.5.1.2,43314,TCP,18145,1609,3554217503,476528962
2024-11-04 11:59:38.558283,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,19709,476528964,3554217503
2024-11-04 11:59:38.561613,4136,10.5.1.20,9001,10.5.1.2,43314,TCP,19709,1609,3554217507,476528964
2024-11-04 11:59:38.561849,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,23779,476528968,3554217507
2024-11-04 11:59:38.561857,2962,10.5.1.20,9001,10.5.1.2,43314,TCP,23779,1609,3554217507,476528964
2024-11-04 11:59:38.562031,66,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,26675,476528968,3554217507
2024-11-04 11:59:38.562173,1240,10.5.1.20,9001,10.5.1.2,43314,TCP,26675,1609,3554217507,476528968
2024-11-04 11:59:38.562331,1514,10.5.1.20,9001,10.5.1.2,43314,TCP,27849,1609,3554217507,476528968
2024-11-04 11:59:38.562419,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,27849,476528968,3554217507
2024-11-04 11:59:38.562578,1338,10.5.1.20,9001,10.5.1.2,43314,TCP,29297,2145,3554217508,476528968
2024-11-04 11:59:38.562738,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,30569,476528969,3554217507
2024-11-04 11:59:38.568394,4136,10.5.1.20,9001,10.5.1.2,43314,TCP,30569,2145,3554217513,476528969
2024-11-04 11:59:38.568738,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,34639,476528975,3554217513
2024-11-04 11:59:38.568890,666,10.5.1.20,9001,10.5.1.2,43314,TCP,34639,2145,3554217514,476528975
2024-11-04 11:59:38.610826,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,35239,476529017,3554217514
2024-11-04 11:59:38.611233,1116,10.5.1.20,9001,10.5.1.2,43314,TCP,35239,2145,3554217556,476529017
2024-11-04 11:59:38.611460,66,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,36289,476529017,3554217556
2024-11-04 11:59:38.699670,1630,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,36289,476529106,3554217556
2024-11-04 11:59:38.699957,66,10.5.1.20,9001,10.5.1.2,43314,TCP,36289,3709,3554217645,476529106
2024-11-04 11:59:38.700764,602,10.5.1.20,9001,10.5.1.2,43314,TCP,36289,3709,3554217646,476529106
2024-11-04 11:59:38.700973,66,10.5.1.2,43314,10.5.1.20,9001,TCP,3709,36825,476529107,3554217646
2024-11-04 11:59:38.701639,602,10.5.1.2,43314,10.5.1.20,9001,TCP,3709,36825,476529108,3554217646
2024-11-04 11:59:38.703959,1630,10.5.1.20,9001,10.5.1.2,43314,TCP,36825,4245,3554217649,476529108
2024-11-04 11:59:38.704134,66,10.5.1.2,43314,10.5.1.20,9001,TCP,4245,38389,476529110,3554217649
2024-11-04 11:59:38.707964,3686,10.5.1.20,9001,10.5.1.2,43314,TCP,38389,4245,3554217653,476529110
2024-11-04 11:59:38.708275,66,10.5.1.2,43314,10.5.1.20,9001,TCP,4245,42009,476529114,3554217653
2024-11-04 11:59:38.709193,602,10.5.1.2,43314,10.5.1.20,9001,TCP,4245,42009,476529115,3554217653
2024-11-04 11:59:38.709762,1630,10.5.1.20,9001,10.5.1.2,43314,TCP,42009,4781,3554217655,476529115
2024-11-04 11:59:38.709941,66,10.5.1.2,43314,10.5.1.20,9001,TCP,4781,43573,476529116,3554217655
2024-11-04 11:59:38.711301,1630,10.5.1.20,9001,10.5.1.2,43314,TCP,43573,4781,3554217656,476529116
2024-11-04 11:59:38.711307,602,10.5.1.2,43314,10.5.1.20,9001,TCP,4781,43573,476529117,3554217655
2024-11-04 11:59:38.711453,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5317,45137,476529117,3554217656
2024-11-04 11:59:38.712734,3686,10.5.1.20,9001,10.5.1.2,43314,TCP,45137,5317,3554217658,476529117
2024-11-04 11:59:38.712973,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5317,48757,476529119,3554217658
2024-11-04 11:59:38.714577,3686,10.5.1.20,9001,10.5.1.2,43314,TCP,48757,5317,3554217660,476529119
2024-11-04 11:59:38.714818,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5317,52377,476529121,3554217660
2024-11-04 11:59:38.718420,4136,10.5.1.20,9001,10.5.1.2,43314,TCP,52377,5317,3554217663,476529121
2024-11-04 11:59:38.718748,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5317,56447,476529125,3554217663
2024-11-04 11:59:38.718916,666,10.5.1.20,9001,10.5.1.2,43314,TCP,56447,5317,3554217664,476529125
2024-11-04 11:59:38.721118,2962,10.5.1.20,9001,10.5.1.2,43314,TCP,57047,5317,3554217666,476529125
2024-11-04 11:59:38.721316,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5317,59943,476529127,3554217664
2024-11-04 11:59:38.721458,1240,10.5.1.20,9001,10.5.1.2,43314,TCP,59943,5317,3554217666,476529127
2024-11-04 11:59:38.721652,1514,10.5.1.20,9001,10.5.1.2,43314,TCP,61117,5317,3554217667,476529127
2024-11-04 11:59:38.721728,602,10.5.1.2,43314,10.5.1.20,9001,TCP,5317,61117,476529128,3554217666
2024-11-04 11:59:38.721892,760,10.5.1.20,9001,10.5.1.2,43314,TCP,62565,5853,3554217667,476529128
2024-11-04 11:59:38.722000,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5853,63259,476529128,3554217667
2024-11-04 11:59:38.725075,3686,10.5.1.20,9001,10.5.1.2,43314,TCP,63259,5853,3554217670,476529128
2024-11-04 11:59:38.725244,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5853,66879,476529131,3554217670
2024-11-04 11:59:38.727678,4136,10.5.1.20,9001,10.5.1.2,43314,TCP,66879,5853,3554217673,476529131
2024-11-04 11:59:38.727842,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5853,70949,476529134,3554217673
2024-11-04 11:59:38.727979,1694,10.5.1.20,9001,10.5.1.2,43314,TCP,70949,5853,3554217673,476529134
2024-11-04 11:59:38.728121,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5853,72577,476529134,3554217673
2024-11-04 11:59:38.767765,1116,10.5.1.20,9001,10.5.1.2,43314,TCP,72577,5853,3554217713,476529134
2024-11-04 11:59:38.814152,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5853,73627,476529220,3554217713
2024-11-04 11:59:38.856328,1630,10.5.1.20,9001,10.5.1.2,43314,TCP,73627,5853,3554217801,476529220
2024-11-04 11:59:38.856545,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5853,75191,476529263,3554217801
2024-11-04 11:59:38.858356,1630,10.5.1.20,9001,10.5.1.2,43314,TCP,75191,5853,3554217803,476529263
2024-11-04 11:59:38.858463,66,10.5.1.2,43314,10.5.1.20,9001,TCP,5853,76755,476529264,3554217803
2024-11-04 11:59:38.858566,602,10.5.1.2,43314,10.5.1.20,9001,TCP,5853,76755,476529265,3554217803
2024-11-04 11:59:38.861750,3686,10.5.1.20,9001,10.5.1.2,43314,TCP,76755,6389,3554217807,476529265
2024-11-04 11:59:38.861904,66,10.5.1.2,43314,10.5.1.20,9001,TCP,6389,80375,476529268,3554217807
2024-11-04 11:59:38.864560,3686,10.5.1.20,9001,10.5.1.2,43314,TCP,80375,6389,3554217810,476529268
2024-11-04 11:59:38.864700,66,10.5.1.2,43314,10.5.1.20,9001,TCP,6389,83995,476529271,3554217810
2024-11-04 11:59:38.868022,4136,10.5.1.20,9001,10.5.1.2,43314,TCP,83995,6389,3554217813,476529271
2024-11-04 11:59:38.868155,66,10.5.1.2,43314,10.5.1.20,9001,TCP,6389,88065,476529274,3554217813
2024-11-04 11:59:38.868248,4136,10.5.1.20,9001,10.5.1.2,43314,TCP,88065,6389,3554217813,476529274
2024-11-04 11:59:38.868370,66,10.5.1.2,43314,10.5.1.20,9001,TCP,6389,92135,476529274,3554217813
