Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:45:52.592432,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1,1,475702998,3553391380
2024-11-04 11:45:52.592496,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3553391537,475702998
2024-11-04 11:45:52.736645,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1,537,3553391682,475702998
2024-11-04 11:45:52.736671,66,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,475703143,3553391682
2024-11-04 11:45:52.736949,602,10.5.1.2,43314,10.5.1.20,9001,TCP,537,537,475703143,3553391682
2024-11-04 11:45:52.737011,66,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3553391682,475703143
2024-11-04 11:45:52.886399,602,10.5.1.20,9001,10.5.1.2,43314,TCP,537,1073,3553391831,475703143
2024-11-04 11:45:52.887301,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1073,1073,475703293,3553391831
2024-11-04 11:45:52.887375,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,1609,3553391832,475703293
2024-11-04 11:45:54.980011,602,10.5.1.2,43314,10.5.1.20,9001,TCP,1609,1073,475705386,3553391832
2024-11-04 11:45:54.980115,66,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,2145,3553393925,475705386
2024-11-04 11:45:54.980609,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1073,2145,3553393926,475705386
2024-11-04 11:45:54.981229,602,10.5.1.2,43314,10.5.1.20,9001,TCP,2145,1609,475705387,3553393926
2024-11-04 11:45:54.988575,602,10.5.1.20,9001,10.5.1.2,43314,TCP,1609,2681,3553393934,475705387
2024-11-04 11:45:54.989357,602,10.5.1.2,43314,10.5.1.20,9001,TCP,2681,2145,475705395,3553393934
2024-11-04 11:45:54.994886,602,10.5.1.20,9001,10.5.1.2,43314,TCP,2145,3217,3553393940,475705395
2024-11-04 11:45:55.037546,66,10.5.1.2,43314,10.5.1.20,9001,TCP,3217,2681,475705444,3553393940
