Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:54:27.739785,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,843129574,2663137782
2024-11-04 19:54:27.740757,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,4071,2663141979,843129574
2024-11-04 19:54:27.741107,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,4071,1,843129576,2663141979
2024-11-04 19:54:27.742209,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,8141,2663141981,843129576
2024-11-04 19:54:27.742648,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,8141,1,843129577,2663141981
2024-11-04 19:54:27.743549,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,12211,2663141982,843129577
2024-11-04 19:54:27.743963,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,12211,1,843129579,2663141982
2024-11-04 19:54:27.744963,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,16281,2663141984,843129579
2024-11-04 19:54:27.745411,344,10.5.1.2,38996,10.5.1.20,9001,TCP,16281,1,843129580,2663141984
2024-11-04 19:54:27.745895,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,16559,2663141985,843129580
2024-11-04 19:54:27.746319,3880,10.5.1.2,38996,10.5.1.20,9001,TCP,16559,1,843129581,2663141985
2024-11-04 19:54:27.747271,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,20373,2663141986,843129581
2024-11-04 19:54:27.747668,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,20373,1,843129582,2663141986
2024-11-04 19:54:27.748506,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,24443,2663141987,843129582
2024-11-04 19:54:27.749004,3042,10.5.1.2,38996,10.5.1.20,9001,TCP,24443,1,843129584,2663141987
2024-11-04 19:54:27.749946,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,27419,2663141989,843129584
2024-11-04 19:54:27.750477,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,27419,1,843129585,2663141989
2024-11-04 19:54:27.751653,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,31489,2663141990,843129585
2024-11-04 19:54:27.752011,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,31489,1,843129587,2663141990
2024-11-04 19:54:27.752871,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,35559,2663141992,843129587
2024-11-04 19:54:27.753252,4136,10.5.1.2,38996,10.5.1.20,9001,TCP,35559,1,843129588,2663141992
2024-11-04 19:54:27.754043,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,39629,2663141993,843129588
2024-11-04 19:54:27.754416,3364,10.5.1.2,38996,10.5.1.20,9001,TCP,39629,1,843129589,2663141993
2024-11-04 19:54:27.755385,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,42927,2663141994,843129589
2024-11-04 19:54:27.774568,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,42927,2663142013,843129589
2024-11-04 19:54:27.775324,66,10.5.1.2,38996,10.5.1.20,9001,TCP,42927,537,843129610,2663142013
2024-11-04 19:54:27.775991,602,10.5.1.2,38996,10.5.1.20,9001,TCP,42927,537,843129611,2663142013
2024-11-04 19:54:27.811099,602,10.5.1.20,9001,10.5.1.2,38996,TCP,537,43463,2663142050,843129611
2024-11-04 19:54:27.812553,602,10.5.1.2,38996,10.5.1.20,9001,TCP,43463,1073,843129647,2663142050
2024-11-04 19:54:27.815976,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1073,43999,2663142055,843129647
2024-11-04 19:54:27.862154,66,10.5.1.2,38996,10.5.1.20,9001,TCP,43999,1609,843129697,2663142055
